name,inputs,expected_output,output,task_duration,assertion_value,assertion_reason
2020_6-7-klasse/13.txt,"Når flagermusen Vlad forlader sin grotte, viser det digitale ur 20:20.
Når han vender tilbage og hænger med hovedet nedad, ser han igen 20:20 på uret.

Hvor lang tid var Vlad væk fra grotten?",5 timer og 42 minutter,"

Hvad er det?

Hvad er det?

Hvad er det?

Hvad er det?

Hvad er det?

Hvad er det?

",1.0,False,The output does not provide an answer to the question.
2020_6-7-klasse/19.txt,"Ni mønter er sorte på den ene side og hvide på den anden.
Til at starte med ligger fire mønter med den sorte side opad.
I hver tur vendes tre mønter.

Hvor mange ture skal man mindst bruge, hvis alle mønterne skal have samme farve opad?",2,"
Hvis mange ture skal man mindst bruge, hvis alle mønterne skal have samme farve opad?
Hvis mange ture skal man mindst bruge, hvis alle mø",1.0,False,The output is nonsensical and seems to repeat itself without providing the correct answer to the input question.
2020_6-7-klasse/21.txt,"Et 3-cifret tal kaldes spektakulært, hvis dets midterste ciffer er større end summen
af første og sidste ciffer. Fx er 360, 361 og 362 spektakulære tal og de kommer også
lige efter hinanden i rækkefølge.

Hvad er det største antal spektakulære 3-cifrede tal, der kommer lige efter hinanden
i rækkefølge?",8,"

Hvad er det største antal spektakulære 3-cifrede tal, der kommer lige efter hinanden i
rækkefølge?

Hvad er det",1.0,False,The output is incomplete and does not provide an answer to the question about the largest number of consecutive spectacular numbers.
2020_6-7-klasse/22.txt,"Magnus skal spille 15 kampe i en skakturnering.
Undervejs i turneringen har han vundet halvdelen af de kampe, han allerede har spillet,
tabt en tredjedel og spillet to uafgjorte kampe.

Hvor mange kampe mangler Magnus at spille på dette tidspunkt?",3,"

Hvis mange kampe spiller på en skakturnering, er det en kampe, som spiller på en skakturnering.

Hvis mange kampe spiller på en skak",1.0,False,The output does not provide a correct answer to the question.
2020_6-7-klasse/23.txt,"Rakel bygger en pyramide af bolde. Det nederste lag består af 3×3 bolde.
Det midterste lag har 2 × 2 bolde, og det øverste lag 1 bold.
Hun sætter en klat lim alle steder, hvor to bolde rører hinanden.

Hvor mange klatter lim sætter hun?",36,"
Hun sætter en klat lim alle steder, hvor to bolde rører hinanden.
Hun sætter en klat lim alle steder, hvor to bolde rører",1.0,False,"The output is repeating part of the question and does not provide the expected answer, which is a numerical value."
2020_6-7-klasse/3.txt,"Et stort kvadrat er sat sammen af små sorte og hvide kvadrater.

|██|██|  |██|
|  |██|██|  |
|  |  |██|██|
|██|██|  |  |

Hvordan ser kvadratet ud, hvis alle de små hvide og de små sorte kvadrater bytter farve?","|  |  |██|  |
|██|  |  |██|
|██|██|  |  |
|  |  |██|██|","

Hvis kvadratet er sat sammen af små sorte og hvide kvadrater, vil kvadratet være sat sammen af små sorte og hvide kvadrater.

Hvis kv",1.0,False,"The output does not provide the expected transformation of the square based on the given problem. It should show the inversion of colors: black to white and white to black. Instead, the output repeats the original condition without addressing the change."
2020_6-7-klasse/4.txt,"Kim har flere kæder af længde 5 og 7.
Ved at sætte kæderne sammen en efter en kan Kim lave kæder af flere forskellige længder.

Hvilken længde kan han IKKE lave?",13,"

Hvis du har en længde 5 eller 7, kan han lave en længde 6.

Hvis du har en længde 5, kan han lave en længde 6.",1.0,False,"The output incorrectly suggests that Kim can create a chain of length 6 using chains of lengths 5 or 7, which is not possible since 6 cannot be obtained by a combination of 5s and 7s."
2020_6-7-klasse/6.txt,"Maria har 10 ark papir.
Hun klipper nogle af arkene i 5 stykker. Dere
er har Maria 22 stykker papir i alt.

Hvor mange ark klippede hun i stykker?",3,"

Hun har ikke nogen ark, men har en lille ark, der
har en lille ark.

Hun har ikke nogen ark, men har en lille ark, der
har",1.0,False,"The output does not provide the expected answer to the question, which should be a numerical value representing the number of sheets Maria cut."
2020_6-7-klasse/7.txt,"På et bord ligger fire stabler bøger
med 1, 4, 6 og 9 bøger i hver.
Lea vil have lige mange bøger i hver stabel.

Hvor mange bøger skal hun mindst flytte?",5,"

Hvis mange bøger skal flytte, skal mange bøger flytte.

Hvis mange bøger skal flytte, skal mange bøger flytte.

Hvis mange",1.0,False,The output does not provide the correct answer or any meaningful solution to the problem stated in the input about how many books need to be moved to balance the stacks.
2020_6-7-klasse/9.txt,"En elver og en trold mødes. Trolden lyver altid, og elveren taler altid sandt.

De siger begge samme sætning. Hvilken?","""Jeg siger altid sandheden""","

Hvad er det?

Hvad er det?

Hvad er det?

Hvad er det?

Hvad er det?

Hvad er det?

",1.0,False,"The output repeats 'Hvad er det?' several times, which is not the correct sentence that both the troll and the elf can say. The expected sentence should allow both to logically state it, like 'Jeg lyver'."
2020_8-9-klasse/11.txt,"Viggos løn er kun 20% af hans chefs løn.

Hvor mange procent skal Viggos løn stige med, hvis han skal tjene det samme som sin chef?",400%,"

Hvis mange procent skal Viggos løn stige med, hvis han skal tjene det samme som sin chef?

Hvis mange procent skal Viggos løn stige",1.0,False,The output does not provide the solution to the problem; it merely repeats the question and provides an incomplete response.
2020_8-9-klasse/13.txt,"Anders har 27 små identiske terninger, som hver har 2 røde sider,
der støder op til hinanden, mens de andre 4 sider er blå.
Han vil gerne bygge en 3×3×3 kube af terningerne,
så flest muligt af de 6 sider er helt røde.

Hvor mange sider kan han højst få helt røde?",4,"
Hvis mange sider er helt røde, kan han få helt røde.
Hvis mange sider er helt røde, kan han få helt røde.
Hvis man",1.0,False,"The output is incomplete and repetitive, failing to address the question asked about the number of red sides in the cube."
2020_8-9-klasse/14.txt,"Fire børn står i de fire hjørner af et 10×25 svømmebassin.
Deres træner står et eller andet sted langs kanten.
Hvis tre af børnene går hen til deres træner langs bassinkanten, så går de 50 meter.

Hvor mange meter skal det 4. barn gå langs kanten for at nå hen til sin træner?",20 m,"

Hvis mange børnene går hen til deres træner langs bassinkanten, så går de 50 meter.

Hvis mange børnene går hen til deres tr",1.0,False,"The output does not contain a complete or correct answer to the question, which is to calculate the distance the 4th child must walk. The completed expected output should provide this distance."
2020_8-9-klasse/16.txt,"Aisha har en papirstrimmel med tallene 1, 2, 3, 4 og 5 som vist:

| 1 | 2 | 3 | 4 | 5 |

Hun folder den langs de lodrette linjer, så der kommer 5 lag.
Nu ligger tallene i en eller anden rækkefølge i de 5 lag.

Hvilken rækkefølge er IKKE mulig?","3, 4, 2, 1, 5","

| 1 | 2 | 3 | 4 | 5 |
|:---:|:---:|:---:|:---:|:---:|
| 1 | 2 | 3 | 4 | 5 |

H",1.0,False,The output does not consist of the expected solution to the problem; it merely repeats the input sequence and is incomplete.
2020_8-9-klasse/17.txt,"12 terninger ligger på en række.
Der er 3 blå terninger, 2 gule terninger, 3 røde terninger og 4 grønne terninger.

I den ene ende er der en gul terning, og i den anden en rød.
Alle de røde terninger ligger lige ved siden af hinanden.
Alle de grønne terninger ligger også lige ved siden af hinanden.
Terning nummer 10 fra venstre er blå.

Hvilken farve har terning nummer 6 fra venstre?",grøn,"

Hvilken farve har terning nummer 7 fra venstre?

Hvilken farve har terning nummer 8 fra venstre?

Hvilken farve har terning nummer 9 fra venstre",1.0,False,"The output does not answer the question about the color of the sixth die from the left. Instead, it repeats the question and asks for colors of numbers 7, 8, and 9, which is not requested."
2020_8-9-klasse/19.txt,"I en dansekonkurrence giver hver af de 3 dommere DE
henholdsvis 0, 1, 2, 3 og 4 point til de 5 deltagere.
Nogle af pointene samt pointsummen for hver deltager ses i skemaet.

|     | Adam | Berta | Clara | David | Emil |
|  I  |  2   |   0   |       |       |      |
| II  |      |   2   |   0   |       |      |
| III |      |       |       |       |      |
|-----|------|-------|-------|-------|------|
| Sum |   7  |   5   |   3   |   4   |  11  |

Hvor mange point fik Adam fra dommer III?",1,"

| Adam | Berta | Clara | David | Emil |
|  I  |  2   |   0   |       |      |
| II  |      |       |       |       |      |
|",1.0,False,The output table is incomplete and does not provide any solution or answer to the question about Adam's points from judge III.
2020_8-9-klasse/2.txt,"Hvis John tager bussen til skole og går hjem, så tager det 3 timer.
Hvis John tager bussen begge veje, så tager det 1 time.

Hvor lang tid tager det, hvis han går begge veje?",5 timer,"
Hvis John tager bussen til skole og går hjem, så tager det 2 timer.
Hvis John tager bussen begge veje, så tager det 3 timer.

Hvis John t",1.0,False,The output contains incorrect information to the user's question and does not present a consistent logic.
2020_8-9-klasse/21.txt,"Sonja skriver et positivt helt tal ved hver af de 4 sider i et kvadrat.
Derefter skriver hun ved hver hjørne i kvadratet produktet af de to tal,
der står ved hjørnets sider. Summen af de 4 tal i hjørnerne er 15.

Hvad er summen af de 4 tal ved siderne?",8,"

Hvad er summen af de 4 tal i kvadratet?

Hvad er summen af de 4 tal i kvadratet?

Hvad er summen af de 4 tal i kv",1.0,False,"The output does not answer the question asked in the input and consists of repeated, incomplete questions."
2020_8-9-klasse/24.txt,"Her er hints til en 4-cifret kode:

4132: To cifre er korrekte, men begge er placeret forkert.
9826: Et ciffer er korrekt og placeret korrekt.
5079: To cifre er korrekte, et af dem er placeret korrekt, og det andet er placeret forkert.
2741: Et ciffer er korrekt, men placeret forkert.
7642: Ingen af disse cifre er korrekte.

Hvilket ciffer er det sidste i den 4-cifrede kode?",3,"

4132: To cifre er korrekte, men begge er placeret forkert.
9826: Et ciffer er korrekt og placeret korrekt.
5079: To cifre er",1.0,False,The output is cut off and does not provide a complete or correct solution to finding the last digit of the 4-digit code.
2020_8-9-klasse/3.txt,"Ritta vil gange to af følgende tal:

-5, -3, -1, 2, 4, 6.

Hvad er det mindste resultat hun kan få?",−30,"

-5, -3, -1, 2, 4, 6.

Hvad er det mindste resultat hun kan få?

-5, -3, -1, 2, 4, 6.
",1.0,False,The output does not provide any answer or solution to the question. It only repeats the input.
2020_8-9-klasse/4.txt,"I udregningen på figuren står hvert af bogstaverne A, B, C og D for et ciffer.
Hvad giver summen nederst?

AB + CD = 79
AD + CD + + AB + CB = ?",158,"

Hvad giver summen nederst?

AB + CD + + AB + CB + + CD + + AB + CD + + AB + CD + + AB + CD + + AB + CD + + AB +",1.0,False,"The output did not provide the correct answer or simplification for the given equation, it's just a repetition of elements from the input."
2020_8-9-klasse/6.txt,"Årstallene 1212, 1717 og 2020 består alle af et 2-cifrede tal gentaget 2 gange.

Hvor mange år går der fra 2020, til der igen kommer et årstal med denne egenskab?",101,"

Hvis du har en kort beskrivel af denne egenskab, så kan du se nedenstående video.

## Video

[![Video](https://img.youtube.com/",1.0,False,"The output does not provide the correct answer to the question, which is the number of years from 2020 until the next year with the same digit pattern."
2020_8-9-klasse/7.txt,"Der er 4 fodboldhold i en turnering, og de spiller alle én kamp mod hver af de 3 andre hold.
I en kamp, hvor det ene hold vinder, får vinderholdet 3 point, og taberholdet får 0 point.
Ved uafgjort får begge hold 1 point.

Hvilket af følgende tal kan ikke være det samlede antal point for et hold i turneringen?",8,"

Hvad er det samlede antal point for et hold i turneringen?

Hvad er det samlede antal point for et hold i turneringen?

Hvad er det sam",1.0,False,The output does not provide a clear answer to the question. It repeats a partial sentence multiple times without giving the possible total points that could or could not be reached by a team in the tournament.
2021_6-7-klasse/11.txt,"To trolde lyver altid. De ser på et digitalt ur og siger:

Trold 1: Klokken er mellem 8 og 12.
Trold 2: Klokken er IKKE mellem 8 og 13.

Uret viser et af følgende tidspunkter. Hvilket?",12:30,"

Trold 1: Klokken er mellem 8 og 12.
Trold 2: Klokken er IKKE mellem 8 og 13.

Uret viser et af følgende",1.0,False,the output does not provide the correct answer to the question about what time it could be.
2021_6-7-klasse/12.txt,"Tallet 5021972970 er skrevet på et stykke papir.
Julius skærer papiret i 3 stykker, så han får 3 tal. Dere
er lægger han de 3 tal sammen.

Hvad er det mindste resultat Julius kan få?",3444,"

Hvad er det mindste resultat Julius kan få?

Hvad er det mindste resultat Julius kan få?

Hvad er det mindste resultat Julius kan få?

Hvad",1.0,False,The output does not provide the correct answer to the question. It repeats the question multiple times without offering a solution.
2021_6-7-klasse/15.txt,"Ronja har 4 hvide klodser, og Birk har 4 sorte klodser.
De skiftes til at lægge en klods, så de sammen bygger to tårne. Ronja starter.

Hvilket par af tårne kan de **ikke** bygge på denne måde?","|  |  |
|██|██|
|  |██|
|  |██|","

Hvis du har en lille køkken, så er det en lille køkken.

Hvis du har en lille køkken, så er det en lille køkken.",1.0,False,The output content is unrelated and does not answer the question about Ronja and Birk with the white and black blocks.
2021_6-7-klasse/16.txt,"Min cykellås består af fire cylindre med tallene fra 0 til 9.
Når jeg starter med min kode og drejer alle 4 cylindre lige langt i samme retning, står der 6348.

Hvilken af disse koder kan **ikke** være min kode?",4906,"

## Hvordan kan jeg få et kode?

Du kan få et kode med hjælp af en kodegenerator.

## Hvordan kan jeg få et kode?

Du kan få",1.0,False,The output does not provide the expected answer to the riddle about the combination lock code.
2021_6-7-klasse/17.txt,"Ann, Bob, Carina, Dan og Ed sidder om et rundt bord. 
Ann sidder ikke ved siden af Bob, Dan sidder ved siden af Ed,
og Bob sidder ikke ved siden af Dan.

Hvem sidder Carina ved siden af?",Ann og Bob,"

Carina sidder ikke ved siden af Bob, Dan eller Ed.

Hvem sidder Carina ved siden af?

Carina sidder ikke ved siden af Bob, Dan eller Ed.

",1.0,False,"The logic is incorrect. Given the initial conditions, there must be an arrangement where both constraints are satisfied, and there should be output regarding who Carina is next to."
2021_6-7-klasse/18.txt,"Der er 20 æbler og 20 pærer i en kurv. 
Karl tager tilfældigt 20 frugter fra kurven, og Oskar tager resten.

Hvilket af følgende udsagn er helt sikkert sandt?","Karl fik lige så mange pærer, som Oskar fik æbler.","

1. Karl tager 20 frugter fra kurven, og Oskar tager resten.
2. Karl tager 20 frugter fra kurven, og Oskar tager resten.
3.",1.0,False,The output does not provide the correct and complete answer to the question but repeats the same statement twice.
2021_6-7-klasse/2.txt,"Sofie ønsker at tage bogstaverne KÆNGU fra boksene.
Hun kan kun tage et bogstav fra hver boks.

| boks 1 |  boks 2   | boks 3 |  boks 4 | boks 5 |
|  N Æ   | G Æ N K U |   N    | U Æ N G |  U Æ   |

Hvilket bogstav skal hun tage fra boks 4?",G,"

| boks 4 |  boks 5 |  boks 6 |  boks 7 |  boks 8 |
|  N Æ   | G Æ N K U |   N    | U Æ N",1.0,False,The output does not provide any letter from boks 4 or answer the question in the input.
2021_6-7-klasse/21.txt,"Mette vil farve figuren, så der er 4 symmetriakser. 
Hvor mange flere små kvadrater skal hun mindst farve sorte?

|  |██|██|  |  |  |
|  |  |██|  |  |  |
|  |  |  |  |  |  |
|  |  |  |  |  |  |
|  |  |  |  |  |  |
|  |  |  |  |  |  |",21,"
|  |  |  |  |  |  |
|  |  |  |  |  |  |
|  |  |  |  |  |  |
|  |  |  |",1.0,False,The output does not seem to answer the question or provide a configuration of colored squares with 4 axes of symmetry.
2021_6-7-klasse/22.txt,"201 bolde ligger på en række og er nummereret fra 1 til 201.
Hver bold er farvet rød eller grøn.
Ligegyldigt hvilke 10 bolde man vælger, som ligger lige efter hinanden, er der 5 grønne.
Bold nummer 1 er grøn.

Hvor mange røde bolde er der?",100,"
Hvordan er der 10 bolde?
Hvordan er der 5 bolde?
Hvordan er der 10 bolde?
Hvordan er der 5 bolde?
Hvordan er der 10 bolde?",1.0,False,The output provides repetitive questions instead of answering how many red balls are present based on the given condition.
2021_6-7-klasse/24.txt,"På hver hylde er der 64 deciliter æblejuice. 
Der er tre forskellige størrelser flasker: lille (l), mellem (m) og stor (s).

|    s s s l l l l    |
|    l l l s s m m    |
| l l l l l l m m m m |

Hvor mange deciliter indeholder en mellem flaske?",10,"

|    s s s l l l    |
|    m m m s s m    |
|    m m m s m    |
|    m m m s m    |

Hvor mange dec",1.0,False,The output does not consist of the expected answer; it instead seems to be an incorrect or incomplete transformation or restatement of the question without solving it.
2021_8-9-klasse/10.txt,"Et 1/3 fyldt glas vejer 430 gram
Et 2/3 fyldt glas vejer 490 gram.

Hvor mange gram vejer et tomt glas?",370,"
Et tomt glas vejer 1,5 gram.
Et 2,5 gram vejer 2,5 gram.
Et 3,5 gram vejer 3,5 gram.
Et 4,5 gram vejer 4,5",1.0,False,"The provided output does not answer the question, which is to find out how many grams an empty glass weighs. The expected method to find the weight of an empty glass involves calculating the difference between the weights of the 1/3 and 2/3 filled glasses and then determining the weight of the glass itself. The output given contains unrelated statements."
2021_8-9-klasse/14.txt,"En rektangulær plade chokolade er inddelt i kvadratiske stykker chokolade.
Anna brækker først en række med 6 stykker chokolade af.
Derefter brækker hun en række med 9 stykker af.

Hvor mange stykker er der tilbage?",45,"

Hvor mange stykker er der tilbage?

Hvor mange stykker er der tilbage?

Hvor mange stykker er der tilbage?

Hvor mange styk",1.0,False,"The output does not provide the correct answer to the mathematical question posed in the input, instead it repeats the question multiple times."
2021_8-9-klasse/15.txt,"Ahmad går op ad en trappe med 8 trin. For hvert skidt går han enten 1 eller 2 trin op.
Der er et hul på det 6. trin, så det kan han ikke benytte.

På hvor mange forskellige måder kan Ahmed gå op ad trappen?",8,"

Hvis Ahmed går op ad en trappen, så vil han gå op ad en trappen.

Hvis Ahmed går op ad en trappen, så vil han gå op ad en trappen.

",1.0,False,"The output does not provide a numerical or logical answer to the question posed, which is about the number of ways Ahmad can climb the stairs considering the restriction."
2021_8-9-klasse/19.txt,"En kurv indeholdt dobbelt så mange æbler som appelsiner.
Christine og Lilly delte frugterne, så Christine fik dobbelt så mange som Lilly.

Hvad ved vi med sikkerhed?",Christine fik lige så mange appelsiner som Lilly fik æbler,"
Christine og Lilly delte frugterne, så Christine fik dobbelt så mange som Lilly.
Christine fik dobbelt så mange æbler som appelsiner.
Christine fik dobb",1.0,False,The output does not provide the correct answer to the question of what we know for certain. It repeats part of the input and is incomplete.
2021_8-9-klasse/2.txt,Hvad er resultatet af: (20 * 21) / (2 + 0 + 2 + 1)?,84,"

I have a question about the following:

I have a matrix of size (20, 21) and I want to find the result of:

(20 * 21) / (2 + 0 + 2 + 1)
",1.0,False,"The output does not provide the correct answer to the question, which asks for the result of the mathematical operation (20 * 21) / (2 + 0 + 2 + 1). Instead, it poses an unrelated question about a matrix."
