name,inputs,expected_output,output,task_duration,correct
1025,Påskeægs-deltagerne gemte 200 legetøj. Madsen-tvillingerne fandt hver 22 legetøj. Alle de andre legetøj undtagen 8 blev fundet af deres venner. Hvor mange legetøj fandt vennerne?,"Madsen-tvillingerne fandt 22 * 2 = <<22*2=44>>44 legetøj.
Antallet der forblev skjult var 200 - 44 = <<200-44=156>>156 legetøj
Da 8 legetøj ikke blev fundet, betyder det, at vennerne fandt 156 - 8 = 148 legetøj.
#### 148"," 8 legetøj er gemt, dvs. 200 - 8 = 192 legetøj er blevet fundet af alle andre børn.
Tvillingene har fundet hver 22 legetøj, så tilsammen er det 22*2=<<22*2=44>>44 legetøj.
Antallet af legetøj de andre venner fandt er 192 - 44 = <<192 - 44 = 148>>148 legetøj
#### 148",5.612472928012721,True
1088,"Der er 7 lektioner om dagen for en normal elev, men Niels skal tage 3 ekstra timer. Hver time varer 60 minutter. Han går til undervisning 6 dage om ugen. Han bruger derefter 1/10 af sine ugentlige minutter hver på lørdag og søndag som ekstra læringstid. Hvor mange timer om ugen bruger han på at lære?","Han tager 7+3=<<7+3=10>>10 timer om dagen
Det betyder, at han bruger 60*10=<<60*10=600>>600 minutter per dag i klassen
Så han bruger 600*6=<<600*6=3600>>3600 minutter om ugen
Det betyder, at han bruger 3600*1/10=<<3600*1/10=360>>360 minutter hver på lørdag og søndag.
Så han bruger 3600+360+360=<<3600+360+360=4320>>4320 minutter om ugen
Så han bruger 4320/60=<<4320/60=72>>72 timer om ugen
#### 72"," På en skoledag bruge Niels 7 timer + 3 ekstra timer, så han er i 10 timer. = <<7+3=10>>10 timer
6 dage om ugen er der 10 timer hver = 10*6 = <<10*6=60>>60 timer
1 uge er 7 dage, hver dag 60 minutter, så det er  7*24 = <<7*24=168>>168 timer på en uge
1/10 af hans tid som ekstra undervisning imellem ####
4380",4.064335939940065,False
99,"Ingrid er en ivrig gartner. To dage siden modtog hun 19 nye potteplanter fra sin yndlingsplanteskole. Hun har allerede 6 potteplanter på hver af de 61 vindueskarme i sit store landsted. Hun har besluttet, at hun vil give 5 af potteplanterne fra hver karm til venner og familie . Hvor mange potteplanter vil Ingrid have tilbage?","To dage siden, før hun modtog planterne, havde Ingrid 6*61 = <<6*61=366>>366 potteplanter
Efter at have modtaget yderligere 19 planter havde hun derfor i alt 366 + 19 = <<366+19=385>>385 potteplanter
Ingrid vil uddele 61*5 = <<61*5=305>>305 potteplanter.
Hun vil derfor have 385 - 305 = <<385-305=80>>80 potteplanter tilbage.
#### 80"," Der er 61 vindueskarme med 6 potteplanter på hver = 61*6=366 potteplanter. Den dag fik hun 19 potteplanter til sendt, så hun har i alt 366+19=385 potteplanter
Den næste dag ville hun give 5 potteplanter til venner og familie = 5*61=305 potteplanter
Antallet af pottplanter tilbage er 385-305=<<385- #### 305",3.861994032980874,False
74,"Alfred har en planterstand på messen. Han sælger tre slags planter: anemoner, roser og pæoner. Han sælger normalt anemoner for 13,166666666666668 kr per håndfuld, roser for 33,09230769230769 kr per håndfuld og pæoner for 31,9 kr per håndfuld. Alfred har ingen øre i dag, så han har besluttet at afrunde til den nærmeste krone. Hvis han sælger 11 håndfulde med anemoner, 27 håndfulde med roser og 40 håndfulde med pæoner, hvor meget vil han tjene?","Alfred vil runde sine anemoner ned fra 13,166666666666668 kr til 13 kr, da tallet efter 13 er lavere end 5.
Alfred vil runde sine pæoner op fra 31,9 kr til 32 kr, da tallet efter 31 er 5 eller højere.
Alfred sælger 11 potter med anemoner*13 kr = <<11*13=143>>143 kr
Alfred sælger 27 potter med roser*33 kr = <<27*33=891>>891 kr
Alfred sælger 40 potter med pæoner*32 kr = <<40*32=1280>>1280 kr
I alt vil Alfred tjene 143 kr + 891 kr + 1280 kr = <<143+891+1280=2314>>2314 kr
#### 2314"," Alfred tjener 11*13,166666666666668 kr=<<11*13,166666666666668=144,8333333378>>144,8333333378 kr på anemoner.
144,8333333378 kr til den nærmeste krone betyder: 14 + 14 + 14 + 14 + 14 + 14 + 14 + 14 + 14 + 14 + 14 = 144 kr
(og resultatet er lidt højere end 144 kr, så 144 kr er den nærmeste.)
Alfreds#### 20",4.239974576979876,False
930,"Når Signe passer sin bror, finder hun en række legetøj frem til ham. Posen med byggeklodser indeholder 49 klodser. Kurven med tøjdyr har 36 tøjdyr indeni. Tårnet med stable-ringe har 10 flerfarvede ringe på sig. Signe købte for nylig et rør med hoppebolde, hvilket bringer hendes totale antal legetøj til broren op på 145. Hvor mange hoppebolde var der i røret?","Lad T være antallet af hoppebolde i røret.
Efter at have købt røret med bolde, har Signe 49 + 36 + 10 + T = 95 + T = 145 stykker legetøj til sin bror.
Således, T = 145 - 95 = <<145-95=50>>50 hoppebolde var der i røret.
#### 50"," Svar 2 er korrekt; 145-95 klodser = 50 hoppebolde
Svar 1 er forkert. 145-50 brikker = 95 klodser (forkert)
Svar 3 er forkert. 95-50 brikker = 45 dyrespil (forkert)
Svar 4 er forkert. 145-50 bolde = 95 brikker (forkert)
#### 50",2.886483337963,True
800,William scorede 320 point i et spil basketball. Anna scorede 28 point mere end en fjerdedel af Williams. Hvor mange point havde William og Anna i alt?,"William = <<320=320>>320 point
Anna = 1/4*320 + 28 = 108 point
320 + 108 = <<320+108=428>>428 point
Tilsammen fik William og Anna 428 point.
#### 428"," Først finder vi ud af, hvor mange point Anna scorede.
Det er en fjerdedel af Williams total, som er 320 / 4 point=<<320/4=80>>80 point
Anna scorede 28 point mere, så det giver 80 point + 28 point = <<80+28=108>>108
Når vi lægger deres score sammen, er det 320 + 108 = <<320+108=428>>428 point

#### 428",3.360804607043974,True
232,"Andrea tog til deres drivhuset for at plukke nogle jordbær og fandt halvdelen så mange larver som hvepse i haven. Hvis der var 30 hvepse, beregn det samlede antal mariehøns i haven.","Hvis der var 30 hvepse, er det samlede antal larver i haven 1/2*30 hvepse = 15 larver
Det samlede antal larver i haven er 15 larver + 30 hvepse = <<15+30=45>>45 mariehøns
#### 45"," Der er halvt så mange larver som hvepse. 30 + 1/2*30 = 30 + 15 = <<30+15=45>>45
Mariehønsene spiser larver. Ashlyn havde lov til at spise hvad hun ville, mens de var i drivhuset.
Der er ingen larver tilbage og hvepse er samme antal. Så der er 45 hvepse.
Mariehønsene er 45.
Der er i alt 45 hvepse + #### 45",4.312591290101409,True
456,I en sæt kunstner-kort er der 23 blå kort og 64% flere orange kort. Lilla kort er lige så mange som summen af blå og orange kort. Hvor mange kort af alle nævnte farver er der?,"Der er 64/100 * 23 = <<64/100*23=14>>14 flere orange kort end blå kort.
Hvilket betyder, at der er 23 + 14 = <<23+14=37>>37 orange kort.
Lilla kort udgør op til 23 + 37 = <<23+37=60>>60 kort.
Så i alt er der 60 + 60 = <<60+60=120>>120 kort i forskellige farver.
#### 120"," Hvis der er 100% af blå kort og 63*100/23=<<23+63>>86% af orange kort, så er lilla lige så mange kort som blå og orange alt sammen. Der er 164% kork lige så mange som 164% af kortene: 1*100/164*164 = <<164>>164 kort.
#### 164",2.378456320031546,False
43,"Ifølge oplysningerne om næringsindhold har en pose småkager 200 kalorier per portion. Hvis en 100 g pose har 5 portioner, hvor mange g kan du spise, hvis dit daglige kaloriemål er 2025 og du allerede har indtaget 1825 kalorier?","Hvis det totale kaloriemål er 2025 og jeg har indtaget 1825 kalorier, så har jeg 2025-1825 = <<2025-1825=200>>200 kalorier tilbage at spise
Hvis hver portion småkager har 200 kalorier og jeg kun har 200 kalorier tilbage at spise, så kan jeg kun spise 200/200 af en portion = 1 af en portion
Vi ved også, at en 100 g pose småkager har 5 portioner, derfor har hver portion 100 g/5 = <<100/5=20>>20 g
Hvis jeg kun kan spise 1 af en portion, så kan jeg kun spise 20 g*1 = 20 g
#### 20"," To portioner indeholder 2*200 kalorier = <<2*200 = 400>>400 kalorier. Den samlede vægt af de to portioner er 2/5*100 g = <<2/5*100=40>>40 g i den 100g posens 5 portioner. Heraf kan man udregne, at de 200 kalorier i en portion svarer til 200 / 40 g = <<200/40=5>>5 kalorier per g. Hvis en person allr#### 4000",3.7897917489754036,False
149,"Mathilde har to gange så mange Twitter-venner som Ella. Kasper har tre gange så mange venner på Twitter som Ella. Hvis Mathilde har 138 venner på Twitter, hvor mange Twitter-venner har Kasper?","Ella har 138/2=<<138/2=69>>69 Twitter-venner.
Kasper har 3*69=<<3*69=207>>207 Twitter-venner.
#### 207"," Mathilde har to gange så mange venner på Twitter som Ella, så Kasper har tre gange så mange venner på Twitter som Ella, så han har 1,5 (138*1,5) gange så mange Venner på Twitter som Mathilde, undtagen at det giver os tre gange så mange som Ella, så hans venneantal vil være 138/2*3 = <<138/2*3=207>>#### 207",3.7877650359878317,True
