name,inputs,expected_output,output,task_duration,correct
677,"Alma og Emma er søstre fra Randers, der elsker at samle underskrifter fra atleter. I løbet af deres vinterferie bruger søstrene hver eftermiddag på at samle underskrifter. Efter 7 uger sammenligner Alma og Emma deres autografbøger og tæller antallet af underskrifter, hver søster har indsamlet. Alma har 37 underskrifter i sin autografbog og Emma har 32. Søstrene har 5 ugers vinterferie tilbage og de beslutter sig for, at de vil nå 100 underskrifter mellem dem inden udgangen af sommeren. Hvor mange underskrifter skal søstrene samle for at nå deres mål?","Alma og Emma har allerede samlet 37 + 32 underskrifter = <<37+32=69>>69 underskrifter.
Da deres mål er 100, skal de indsamle 100 - 69 underskrifter. 100 - 69 = <<100-69=31>>31 underskrifter
#### 31"," Alma har 37*7*5 = <<37*7*5=503>>503 underskrifter eller 37*12 = <<37*12=391>>391 und - de selv skal have indsamlet foruden at indlæse originale underskrifter.
Eftermiddage har Alma og Emma hver indhentet 7 ud af 391 = <<7*391=78>>78 (todelt):
Emma har 12
Alma har 11
Ærsaget er, at Emily må indhis<?####
7839217878784786788542322000204060816250200000000000404068035010000106000109600660000000000006666656200116200131620012162001216200115620060080182000181562001562007006003000071050262000220502005020162001178200340502100020490602922495026241305162419042412341241202164604242138132541983212959084530030010844068448360089308210859910817641081641108164860811152361712513426541082827082114545107151857441069121527914047473557021014337626109197665846383344775871631699106934161228909013951356320113295889399413033333304708748416153602849591709472201100399090951025732477571161226063128575567521363990104461686412702133471294193154107350656345903345304699325746364278146205846182208255716959343135611388749224220639053844433492105830173876303455824914729410299304642691117424237809634339250620411561214681051159913924249982822884010439089453052536711026327094426936333381066588796600313796889427252169296478962860012043280350279154691495667847833",2.4407013412564993,False
937,"Erik fodrer sine husdyr med hø. Hver æsel har brug for 3 kg og hver alpaka har brug for 2 kg mindre end det to gange af, hvad hver æsel har brug for. Hvis der er 11 æseler og 19 alpaka, hvor mange kg hø har Erik brug for?","Først find ud af, hvor meget hø hvert alpaka har brug for: 3 kg * 2 - 2 = <<3*2-2=4>>4 kg/alpaka
Så regn ud, hvor meget hø alpakaene i alt har brug for: 4 kg/alpaka * 19 alpaka = <<4*19=76>>76 kg
Derefter regn ud, hvor meget hø æselerne i alt har brug for: 3 kg/æsel * 11 æseler = <<3*11=33>>33 kg
Sidst læg de to mængder hø sammen for at finde det samlede antal: 76 kg + 33 kg = <<76+33=109>>109 kg
#### 109"," I starten af året har han 11 * 3kg * 2 = <<11 * 3 kg * 2=28 kg>>28 kg og 19 * 2 = <<19 * 2=40 kg>>40 kg.
Hvis han gør det en dag, kan han midt i måneden fyre dagen i øjeblikk, og da er det 70 kg evaluert tidligere.
En kvi 1900 / 42 * 437 = <<20000/42*437=2148kg>>2148 kg. Ved slutningen af året har
#### 10092871210045556146303385371111111111112110000001111119910000110011001100110011001101000011010001000011001000722515671133532357000069122593750000000000000300122517337858457717053894268333333333333333333333393000006256246225981383138112524621311268693682130004582212396942223912324412431285457525283513412394882512554123456438354882646258000091009389312124655871104781253522753738486383602235811520011743343845773588025366132333344440410000671234123400025632942667374423396425253239586623154430002082875000000000000000456235100000000062711126686431851157123259900001000011131433661137653232328325173285134278821531723780656521310000675312729611139630116106511163322017771310000000210563124113385011825111765119317313836320370213100000002165511165145232431574316669511234393192751884100004422541925153168851161062586315158215011516155149531120000521254272469101181312537265264111003787114241410110311201231260476180000644140199322720153005000066521171270685173231258611980040000006511",1.4523091400042176,False
984,"Emma har et blomsterbed, der er 29,4 m langt. Emma vil fylde sit blomsterbed med planter. Emmas blomster bliver 30 cm brede, så hun skal bruge 42 cm mellem hver plante. Emma ejer allerede 18 blomster. Hver blomstrende plante koster 62 kroner i butikken, hvor mange penge skal Emma bruge på sit blomsterbed?","Emmas blomsterbed er 29,4 m / 42 cm per plante = <<2940/42=70>>70 planter påkrævet.
Emma skal købe 70 planter - 18 planter = <<70-18=52>>52 planter, der skal købes.
Emma skal bruge 52 planter * 62 kroner = <<52*62=3224>>3224 kroner.
#### 3224"," Emmas blomster er 29 + 30 + 42 - 9 = <<29+30+42-9=<85.4*85.4=<380>>380 kr absanke kurstvejen, kød og ethanol 2>/3/3/2/1 toppe kød og 8缘瓶/32缘瓶/16缘瓶/4缘瓶/2缘瓶/1缘瓶
Af de 42 delvane, der er 4, af højst 6.8 kr. De resterende kr. udgør ligeledes 85 egetræ . Dette worsetale for det mest vanlige feilværsespm####
13772827255931823987748102714545297952143759705926432463659064096119520317595144503686708436064362915407845262013905288326276275919237487154655330668356729866051729224772849246188471089722970328291597876203369974269192532624855326884014404890354564646308503082891437481613917863595396232848468433521961763237483513242757333149449531464599074646676239442319448279026857607818013227180302395180959477592053763458719232134534658150345387426265238737669054740171872390476642202818908570978762033201739495470325932795072248954296300943209260573534945734635167216134735829576048472238372921303974978079325757578784790786609636624214006787748462762585390646069019260573535906300924223833009075037048455969209692384438359402724781729391390336003746572169019260573535906300924223833009075037048455969209692384488",1.5556681831367314,False
473,Christian så en 2 meter lang hval med 2 markeringer på 50 cm hver på siden. Hvor mange procent af hvalens kropslængde udgør den samlede længde af markeringerne?,"Først, find den samlede længde af markeringerne i cm: 50 cm/markering * 2 markeringer = <<50*2=100>>100 cm.
Derefter dividerer du det tal med 100 for at konvertere det til meter: 100 cm / 100 cm/m = <<100/100=1>>1 m.
Derefter dividerer du den samlede markeringslængde i meter med hvalens længde og ganger med 100% for at udtrykke svaret som en procentdel: 1/2 meter * 100% = 50%

#### 50"," 50 cm af: 50 cm + 2/50 = <<50+2/50=50/2+50>>= <<×2/2=6, 25>>= 0,625 %
Her er 50 cm og 6,25 % af axen 50 cm - eller dobbelt så længe længden af markeringen     var.
 #### 2000010032057581482558457137582375825584589255845892906255845826890584582584589327255848950584586058458458505845878186100584587811861005845847425858968359058458345905845890890985893190889387594589259487512954558970302358925584509425843599142580025942585775106002002594259888510351085109825106448785882863116161568382521306554925420160156401519114167528202548020680002437810183586042375279700189853138127620548013911368342310223351930023641122866497327125609124134597362170186132494561259259103647365066713464365199027122060440612810382331008477639995911822941081345361943911086811959932760820716135526918141169333063721190353604528410623990095703508236051519106359295891315528121098157659624830751815372219120953309266486498577150972978327113159236170394228989738197125599529262130092981267834027105010203040722023436725158268088159620322811740450259309810486415526772086871784336530643931010335359165611484711186553462645481043409730866018462142683617451374962314707161269865826213511250090300911180507196232036",1.2664522710256279,False
432,"Prins Niels dræbte 400 giganter med sit mægtige kampøkse, mens prins Henrik, der brugte et lanse, dræbte halvdelen så mange giganter som prins Niels. Ved hjælp af en træ hammer dræbte prins Magnus fem gange så mange giganter som prins Henrik. Men prins Erik, som havde glemt sit sværd derhjemme, dræbte tre fjerdedele så mange giganter som prins Magnus ved hjælp af en smørkniv. Hvor mange giganter har prins Erik dræbt?","Prins Henrik dræbte halvdelen så mange giganter som prins Niels, altså 400*1/2=<<400*1/2=200>>200 giganter.
Prins Magnus dræbte fem gange så mange giganter som prins Henrik, altså 5*200=<<5*200=1000>>1000 giganter.
Prins Erik dræbte tre fjerdedele så mange giganter som prins Magnus, altså 1000*3/4=<<1000*3/4=750>>750 giganter.
#### 750"," Prins Niels dræbte 400 + 400 = <<400+400=800>>800 giganter
Prins Henrik dræbte halvdelen så mange giganter som prins Niels, da han lerved med en ståltræl og havde kun 8 fuldbrødre. I dette tilfælde, kan han anvende 100 %, da Anders kun har 18 mv.
Men prins Erik ved hjælp af hans sværd dræbte tre fj####
308080846576333452817086733308980868533637873307363386611333331311333554675562565786558354455624234566471563388868451278592386673581423295476344755633333334887556135168983647534980145347236593243850067825845496288893138067732583575134272372399446122462485803615101100175346823554887682186659342656648268895638037357135837940236592376220712346335017618256813172815937432841809215859654749197434453334238726850895843135056972362266975082568203272112529921851147142597491843385633535000934575993128567683233973671665702535612875624257341457010171351245736092517696102597414261939266961287652562408478199221736400344025097124170831320236409129936705941847299532509975200233825597393526553268795846687247585223121609572649001465225373443122993733756174945686674172663682137482112959442032511062513193456941340101376605145702818556536756727061799226293879311524493968108252110500546156855900800661012732736721982670498282084299",1.4361179787665606,False
1053,"Olivia kvalificerede sig til en plads på håndboldholdet, så hun gik ud for at shoppe noget sportsudstyr. Hun købte en sportsbh til 14 kr, et par håndboldleggings for 13 kr mere end det sportsbh'en kostede og et par tennissko, der oprindeligt kostede 48 kr, men var på udsalg til en tredjedel af prisen. Hun havde en kupon til 3 kr rabat på pakken med 7 kr sportssvedbånd, som hun også købte. Hvor meget brugte hun på sportsudstyr?","Leggingsne kostede 13 kr mere end sportsbh'en, så de kostede 13 kr + 14 kr = <<13+14=27>>27 kr.
Hendes tennissko kostede en tredjedel af den oprindelige pris på 48 kr, så de kostede 48 kr*1/3=16 kr.
Med hendes kupon kostede svedbåndet 7 kr - 3 kr = <<7-3=4>>4 kr.
Sportsbh'en, leggingsne, tennisskoene og svedbåndet kostede tilsammen 14 kr + 27 kr + 16 kr + 4 kr = <<14+27+16+4=61>>61 kr.
#### 61"," -Hoe siggte gave et til 14*7 = <<14*7=54>>54 kr.
De 7 kuponer er 1 kr, og prisen var 14/7 = <<14/7=24>>24 kr
Jo, hun havde 14/7 * 7 = <<14/7 = 54>>54 kuponer.
Rockets viste figurer ved dagens lunsø fra punktil til punktil, mens andre punkere lå i deres grupper Affirmative Mentality! Magnet ball

I-####
16546869177348736898380878377057953198806847857663575078592815080636904773598068778476774774881087077971987438725848191123420745488659347374901947377345939057905931193941011988384008367190613849067957002556642340543569083410562187759011576195494092844056332025677342515757810619628959725164162692998382451549378201472775435812393197961343807843403351568362339004117719782509935101607054802086888138115155089237811455788453258150076525391243541548077678255016654913572345406128062782721583428415476973288106798024620672944001116602103838455504892002270342502341603561082895815033273283786240157756313149488188903373402679163873108461816870354944227807054693573447992240343452621011019800581277394455710610010030666891116986711078596145540011353937133921386807989393489808113462174858978257894648446411362920394178826213775742868776351140376520476596978765843714151863531310073202212409833300112",1.4228323632851243,False
365,"Der er 48 piger i legepladsen. Hvis der er tre gange så mange drenge i legepladsen, hvor mange børn er der så i legepladsen?","Der er 48 piger*3 drenge/piger = <<48*3=144>>144 drenge i legepladsen.
I alt er der 48 piger + 144 drenge = <<48+144=192>>192 børn i legepladsen
#### 192"," Da der er 48 og der er tre gange så mange drenge i legepladsen, er det 18 + 3 (Tre2 = 18 + 3), omregnet til tal: 48 = <<48=96>>96 drenge.
Ved forslagsmåden samlet alle 48 drenge ind, og derfter beregnes det antal piger de indholdt. Da der er 48 * 3 (= 144) elever til at vokse op i, kan numrene 24,1#### 243431441675035447675555555444355555544444444434444244443444343343244446445345374554534343345363353333117534333343335854433333356633434350766343400337343345734733334634453093443437544953430454761994043475594323343784563893322473435031434355939834533344539437635353135335203334453535434353344455694374333333578340000000000000000034343344133243556719764000000000000000004563440735053550044071358474415756754465770000000000000000000003940000003750000747447733333334333470733334425577000000000000000034450000000000000000604444466666665544374400000000000000400003883333409944441144788345103034617410000000000000035000433824217504145205687622643136641400000000000000299999779722448664443319733338777321100000000000000003600000054143333252150061611731000000000000006365665338123366666647953388334483444540000000364037354087443749135158374177000000000000039494403291000000000000000000000000746878001000008561234344232240000000000796002510000000000000000657677013100000000000000411431441005000000000000041176661771409383233417463434435444415000163531540000000000000024454270024000000346572210005477011605797644944332845453004660613224400000000",1.410060548223555,False
873,"Clara har 152,625 kr og ønsker at købe 16 spændeskiver fra en kasse i isenkræmmer. Hver spændeskive koster 0,8 kr. Hvor mange penge har Clara tilbage efter at have betalt for spændeskiverne?","Clara betalte 16*0,8 kr = <<16*0,8=12,8>>12,8 kr for spændeskiverne.
Clara har 152,625 kr - 12,8 kr = 139,825 kr tilbage.
#### 139,825"," 1 dia, 15 * 0,8 = <<15*0,8=26>>26 penge fra kassen.
Hvis 1 spændeskive kostede 3,6 kr hver, var Clara inde i 26 penge.
 #### 2626625264286762160875364842921646726128780567287368125363874884518850234343781836571849319512393469299674863731960071447772761481632126310172204857103586098998888152193814284287198812682612738962202157997592410000000000038563772892889765045832655866565193522412321002333554128757375910265308036527933280147040010004533175270000250100000700000000000000200000000000000002000000000100000000002000000000100000000001600000000001600000008000000000000002020000000000000020000000000000002000000040000000000000004000000390000000000000033000000654328169441991213698210996297421906394569987288957215908195006278378313749697105196666350142000003600000003030448100000100100100041416351260045700871674076692802593523371757938583133051753551248181926935303123901926664115822040414390774762640424676997134909624161588156133557588878282168355986339732219695372244618974776724132193518035418977767625349916214836667921631267500793158771915175653142648731517277825215252499292845413502264373499299353735525628269318155851896863887197843496428132689176839250999940131243935224469142717171764333137511003700000000000000340000000000000002000000000000000880000000000000080000000000000002000000000000000500000000000000034030917172702951031490740813581242551314838357740229134361360139",1.2766380566172302,False
976,"Emil sælger kanelsnegle og jordbærtærte til en indsamlingskampagne. Om onsdagen solgte han 29 kasser kanelsnegle og 6 færre kasser jordbærtærte end om torsdagen. Om torsdagen solgte han yderligere 13 kasser kanelsnegle end om onsdagen og 24 kasser jordbærtærte. Hvis kanelsnegle koster 7 kr og jordbærtærter koster 30 kr, hvor meget tjente Emil på to dage?","Han solgte 29 + 13 = <<29+13=42>>42 kasser kanelsnegle om torsdagen.
Det samlede antal kasser kanelsnegle, som Emil solgte, er 29 + 42 = <<29+42=71>>71.
Emil tjente 71*7 kr = <<71*7=497>>497 kr på at sælge kanelsnegle.
Han solgte 24 - 6 = <<24-6=18>>18 kasser jordbærtærte om onsdagen.
Det samlede antal kasser jordbærtærte, som Emil solgte, er 24 + 18 = <<24+18=42>>42.
Han tjente 42*30 kr = <<42*30=1260>>1260 kr på at sælge jordbærtærte.
Så Emil tjente 497 kr + 1260 kr = <<497+1260=1757>>1757 kr på to dage.
#### 1757"," Hvis indsamlingskampagnen blev afholdt tirsdag, brød indsamlingskampagnen måske om onsdagen, mens kampagnen blev afsluttet tirsdag. Om søndagen solgte han 9 kr, så det skulle være 7 or 9, men 10 kr = om kanelsnegle, der koster 7 kr. Jordbærter var blot 6 andres ved at bringe de. 17 kasser kanelsneg####
160028377322970643064089846839259120745316069706732638065087609451193171225570848654076659515512493186497967031751820905259558066841271415911299981414171888812839011272137630511950016662597944055315182150484237179131675235986339588920591939074785426058126131343097937275951111495630925336976146261863675041080616313324584438867281823817615828501821298491081387356552028258194752051438057076985093228516894377239734589859509941095844819816149173432084219630585045937202984477072977851291663546237065991140944914554443965778869702916447871526730382787234870499516124106175903736765161927617298214969051381251142138975851656107697389631855388038763540001087987950244277338733758107468684034384241378373718921416154448465178614538964547177297819929764136342916936176370155516401682318161757712111176547012197490954958454174543364189399147982325124705950665869536201007191009961951894924904486521653172474597453805053891168618880188577099",1.4087006119079888,False
989,Olivia kan skrælle 5 svampe i minuttet og sautere 30 svampe på 9 minutter. Hvor lang tid vil det tage hende at skrælle og sautere 90 svampe?,"Først find ud af, hvor lang tid det tager Olivia at skrælle svampene: 90 svampe / 5 svampe/minut = <<90/5=18>>18 minutter
Derefter finder du ud af, hvor mange portioner svampe hun skal tilberede: 90 svampe / 30 svampe/portion = <<90/30=3>>3 portioner
Derefter ganger du antallet af portioner med tiden per portion for at finde den samlede tilberedningstid: 3 portioner * 9 minutter/portion = <<3*9=27>>27 minutter
Til sidst tilføjer du skrælletiden for at finde den samlede tid Olivia bruger: 27 minutter + 18 minutter = <<27+18=45>>45 minutter
#### 45"," 3480 rpm = <<3480 rpm=90>>90 svampe
              Er skrælling gammel, så slukkelsen skal være 40/90 = <<45/90>>45 minutter
              Er sauttering gammel, så slukkelsen skal være 60/90 = <<65/90>>60 minutter
              Svært trækkende, så slukkelsen skal være 85/90 = <<85/90>>85 minutter

H####
9928581498995537890000000097979870915891574116546411000435026544212501105250891915195792789294154212579297529750389327399859793000180563856451175898051444597144559745797912737449544574567315552149693929286564513145837479150638374989492507679143396415391354364158569215565171350436736117831104277148593498617843580614989639934035851399187555353134415928388944533917333339453035751346769998384347273300199751572827870273715882960817054488879206344817327659981210685756494694886799502001812204841481361549075998557341134505996443679764195214013741289580647574618719850182156518041257142217531200416787280123456291065289909671651871956579990416848971212377570929985173322422489599329500558821014935036695663794201613985380717684873423125836471549791641374279959819739163676951178882554114452444134465268668888798463088281887659823000001155745367019689794111933829831017397932038391158232573565728973971232438944",1.3891604128293693,False
