,model,gsm_var,language,accuracy
0,Llama-3.1-8B,v1,English,0.165
1,Llama-3.1-8B,v10,English,0.134
2,Llama-3.1-8B,v11,English,0.144
3,Llama-3.1-8B,v12,English,0.113
4,Llama-3.1-8B,v13,English,0.124
5,Llama-3.1-8B,v14,English,0.175
6,Llama-3.1-8B,v15,English,0.082
7,Llama-3.1-8B,v16,English,0.165
8,Llama-3.1-8B,v17,English,0.113
9,Llama-3.1-8B,v18,English,0.103
10,Llama-3.1-8B,v19,English,0.113
11,Llama-3.1-8B,v2,English,0.165
12,Llama-3.1-8B,v20,English,0.124
13,Llama-3.1-8B,v3,English,0.113
14,Llama-3.1-8B,v4,English,0.093
15,Llama-3.1-8B,v5,English,0.155
16,Llama-3.1-8B,v6,English,0.165
17,Llama-3.1-8B,v7,English,0.124
18,Llama-3.1-8B,v8,English,0.134
19,Llama-3.1-8B,v9,English,0.134
