name,inputs,expected_output,output,task_duration,correct
684,"Jakob og Jens har 30 minutter til at gå til skolen sammen. Det tager dem 6 minutter at komme til hjørnet, hvor biblioteket er. Det tager dem yderligere 13 minutter at komme til brandstationen. Hvor meget tid har de tilbage til at nå skolen uden at komme for sent?","Jakob og Jens ankommer til biblioteket med 30 - 6 = <<30-6=24>>24 minutter tilbage til at nå brandstationen.
Derefter ankommer de til brandstationen og har 24 - 13 = <<24-13=11>>11 minutter tilbage til at nå til skolen uden at komme for sent.
#### 11"," 30 + 6 + 13 -2 = 30 - 6 + 13 + 30, som lægges til 6 minutter (brænd-)gangs tid er 20 minutter, mens 13 minutter skal til at blive ladet med 1% af originaltiden af 30.
Derudover tager 28 + 6 + 13 -1 = 6 + 13 + 28 (brænd-)gangs tid til at komme til tilslagsværkstedet, skrivemaskinen og biblioteket, j#### 253293207439217885195665545854232200982219607593725769423694980351031710636352483966211663827725116251316341209443346729761007210183690181560231257536190431923249940229213561259951397327864405028892489579060292249539241324816327327912341241258288539155763651983269499908782473571084807684483670897758290859906176478984119856448161199236176813426543428273774094545932009573289435691244927914047953557696768076266719766584638334477587163789910693480302289090139588900371329588275994130333333047087484645653602849591709472201100399090951025732477571161226063128575567521363990104461686465021334712941931541073506563459033173304699596846364278146205846182208255727895934313561138874922422063905384443349210583017387630228558249147294102993046426911174242378096347509250620411561614681058898981392424998289998849872874897305253671102632709442693633571066588796600399796889427252169296478962860012043280350279154697078667847833",<MagicMock name='mock.__sub__().__truediv__()' id='140032739707840'>,False
432,"Prins Theodor dræbte 100 drager med sit mægtige sværd, mens prins Arthur, der brugte et spyd, dræbte tre fjerdedele så mange drager som prins Theodor. Ved hjælp af en rusten jernøkse dræbte prins Wilhelm to gange så mange drager som prins Arthur. Men prins Stefan, som havde glemt sit sværd derhjemme, dræbte en femtedel så mange drager som prins Wilhelm ved hjælp af en neglefil. Hvor mange drager har prins Stefan dræbt?","Prins Arthur dræbte tre fjerdedele så mange drager som prins Theodor, altså 100*3/4=<<100*3/4=75>>75 drager.
Prins Wilhelm dræbte to gange så mange drager som prins Arthur, altså 2*75=<<2*75=150>>150 drager.
Prins Stefan dræbte en femtedel så mange drager som prins Wilhelm, altså 150*1/5=<<150*1/5=30>>30 drager.
#### 30"," Prins Theodor havde 100*50+100*50+2*100=400 drager.
Prins Arthur havde 100*40=4000 drager.
Prins Wilhelm havde 100*50+100*50+2*100=40.000 drager.
Prins Stefan havde 400*50+400*50=2.000 drager.
Prins Theodor døde 1900. Prins Arthur døde 1880. De to prinsers sammenlagte antal fægtede drager var 10.60#### 1000006000004504504500303030020005000100001503333333333333339923456789166666444435155555555550225152333333353235700006912259375000000000000030000055174778584577777538942683333156577703393000006256246225981383757588244616112686936826400045822202439694226771053405003308545753428351341239488250155415738383548826467073196730653835121406558711047877547522753738486383602235811520011743343845773588025366132333574440410000671234123400025632941574537444725645425323576623154430002082875000000000000000456880000047000000009456880064318511570011234123400001123412341314336666676532357341234123402346134132316852376465652131123412341234023261113231687106565653322012341234123402345123132316850123456712313231334224623376482344434233341112414523243134316432412393192753541123444225415153234852314258631515461554151515514953654455215541524251011814851556138472541523413724241410112414456151561460476183764414549931234201512414753854111570615345351258611971255766515",<MagicMock name='mock.__sub__().__truediv__()' id='140032739746512'>,False
1305,"Slot-familien har travlt med at lave småkager. Indtil videre har de lavet 7995 småkager. De har 2595 citron småkager, 3075 havregryn småkager og nogle chokolade småkager. Hvor mange chokolade småkager har de lavet?","Det samlede antal citron og havregryn småkager er 2595 + 3075 = <<2595+3075=5670>>5670.
Derfor har de lavet 7995 - 5670 = <<7995-5670=2325>>2325 chokolade småkager.
#### 2325"," Slot-familien har lavet 7995+2595+3075+nogl. Norge c = 20. Norge c = 20. Hvis Slot, holden 400, har lavet 40% af alle 21995 småkager (2595*20%) = 9217,0 chokolade småkager,

Hvis Slot, holden 300, har lavet 30% af alle 2275 småkager (3075*20%)=nu kaldes resterende småkager De.  Det er afholdt ophør#### 000000000000000109010246052305556432256655831459057560759375512095700253453434473120926488131028774098272559318594097748102714545297952135497059210924636590640961195203175951445075867084360643629157578452620139052883262762759192374871546553306683567298660517454684772849246188471089722970328291597876203361142526919253262485532633785254890354564646308503082891437481613917863595396232848468433521961763237483513242757333149449531464599074646676239442319448279026857607818013227180302395180959477592053763458719232144453465815034538742626523873766905474017187239047664220281890857097811624834201739445470325915458507224895429630094320926057353494573463516722551347358295760484722386052921303974978079325757578785590786609636624214006787748466452585390641369019260331744176300924224318149907503704845596920969238443835940272478176539137517945737465721690117395407658665941706537892676734121703370826581330923505088",<MagicMock name='mock.__sub__().__truediv__()' id='140032739708656'>,False
39,"Dorte kan løbe fire gange hurtigere end hun kan gå, men hun kan springe med en hastighed der er halvdelen af den hastighed, hun kan løbe. Hvis hun kan springe med 3 km i timen, hvor mange km kan hun rejse på seks timer, hvis hun bruger en tredjedel af tiden på at løbe og to tredjedele af tiden på at gå?","Hvis Dorte kan springe med halvdelen af hastigheden hun kan løbe, så kan hun løbe med 3*2=<<3*2=6>>6 km i timen.
Og da hun kan løbe med en hastighed, der er fire gange hurtigere end hun kan gå, betyder det, at hun kan gå med 6/4=1,5 km i timen.
Hvis to tredjedele af tiden bliver brugt på at gå, så går hun i 6*2/3=<<6*2/3=4>>4 timer.
Hvis en tredjedel af tiden bliver brugt på at løbe, så løber hun i 6-4=<<6-4=2>>2 timer.
Således løber hun i 2 timer med 6 km i timen, eller 2*6=<<2*6=12>>12 km.
Hun går i 4 timer med 1,5 km i timen, eller 4*1,5=<<4*1,5=6>>6 km.
Således rejser hun i alt 12+6=<<12+6=18>>18 km.
#### 18"," Videre n: Lille biodiversitet i lyset af, hvad nogle forskere siger overkossinerne er en af kroniklernes donnerste har næsten fordom imod kuberner. Nogle blāmaner axiomates foreslog indiviigens til ånheste læsenssarter slås ude for ånheste solirit. Ulsterbutyromorfin pelletering aggressivitets axom####
13210329810793272211248910981206080758050798886186100760700040659576807985896837110510072807390624490890900000060400000803000456257204875120044551670302355049416644237253635991453346129412264181060032057906488161035107299984301644834034528631161615683205048400576105801501010151911416752834054802068000243781018607604284035000640085312412760002480139113683480427233511200000006286411228664973271256091241344728736200018613249456125925910364736506671346410011990271220604406128103834031008477610009591181145610813453619439110868119009360820716135526918141169333063721005536045284106352115869570350837605151910635917431315528121098157659624830751815372219120953309266486498577150972978327113159236170394221410738471255995291667009010748340271050102030407674153436725158268088159640532971174045025930981048641551309208131784110165306439310103357699561148471118655346264548104340973080206300542683617451374966514707161269865826213511250090300911180507196232036",<MagicMock name='mock.__sub__().__truediv__()' id='140032739950960'>,False
1141,"Hvis Kasper spiser 3 æg om dagen i 30 dage og derefter øger det til 5 æg om dagen i 30 dage, hvor mange dusin æg vil Kasper have brug for i 60 dage?","Han starter med at spise 3 æg om dagen i 30 dage, hvilket i alt er 3*30 = <<3*30=90>>90 æg
Derefter øger han det til 5 æg om dagen i 30 dage, hvilket i alt er 5*30 = <<5*30=150>>150 æg
I alt vil han spise 90+150 = <<90+150=240>>240 æg
Der er 12 æg i 1 dusin og han vil spise 240 æg, hvilket er 240/12 = 20 dusin æg
#### 20"," Eftersom kasper spiser 3 æg om dag 5 klicke, toks (5*5) klicke i 60 dage, vil klid fra start på dag 1 vise sig 2*3 = 6 lige overpå Kasper samlet. Men i 60 dage vil dannet en gruppe kasper have følgende duft (3*5) i hver dag i:

6 x 5 x 3 = 120 lige.
I 60 dage vil 131 x 5 x 3 = 3972 dage være duftet####
639230328086012128382132803612638213280361320363286012818322932293229320362312212839328886845127812238601283923295127883123452648988754512168983123458349801451216898658243850067825845496288893138078998258447513423423723483412246248580361512212583468232542488682132605826566482656648265664826566482656648265664826566482656648265664826566482656648265664826566482656648265664826566482656648265664826566482656648265664826566482656648265664826566482656648268561234232463428783120867683234836723657025121283424257252145724701725121283424251769610251173826001121212008765256240847819922173640034402509712417083132023640912993670594184710513450997520023382551355352655326879584668724868544121609572649001465225663244312299373375626024568667488826636821374821129594420325110625130234569413401013766051457028183086550000043967270617992262938821152449396810825211050054615685340080066101273273672198267045282084299",<MagicMock name='mock.__sub__().__truediv__()' id='140032739785856'>,False
1239,"En pedel skal gøre rent på en skole med 80 klasselokaler. De har 5 dage til at få det gjort. Det tager dem 15 minutter per klasselokale. Hvis de arbejder 8 timer om dagen, hvor stor en procentdel af deres dag, i gennemsnit, går til at rengøre klasselokaler?","De skal gøre rent 16 klasselokaler om dagen, fordi 80/5 = <<80/5=16>>16
De bruger 240 minutter på at gøre rent om dagen, fordi 16*15 = <<16*15=240>>240
De bruger 4 timer om dagen, fordi 240 / 60 = <<240/60=4>>4
De bruger 1/2 af deres dag på at rengøre klasselokaler, fordi 4 / 8 = <<4/8=0,5>>0,5
De bruger 50% af deres dag på at rengøre klasselokaler, fordi 0,5*100 = <<0,5*100=50>>50
#### 50"," -8 - 5 = 3 dage for hver 7 klasselokaler
7 x 5 = 35 dage
35/7 x 3 = 20%
#### 20",<MagicMock name='mock.__sub__().__truediv__()' id='140032739785616'>,False
1088,"Der er 6 lektioner om dagen for en normal elev, men Johannes skal tage 2 ekstra timer. Hver time varer 40 minutter. Han går til undervisning 5 dage om ugen. Han bruger derefter 1/16 af sine ugentlige minutter hver på lørdag og søndag som ekstra læringstid. Hvor mange timer om ugen bruger han på at lære?","Han tager 6+2=<<6+2=8>>8 timer om dagen
Det betyder, at han bruger 40*8=<<40*8=320>>320 minutter per dag i klassen
Så han bruger 320*5=<<320*5=1600>>1600 minutter om ugen
Det betyder, at han bruger 1600*1/16=<<1600*1/16=100>>100 minutter hver på lørdag og søndag.
Så han bruger 1600+100+100=<<1600+100+100=1800>>1800 minutter om ugen
Så han bruger 1800/60=<<1800/60=30>>30 timer om ugen
#### 30"," Tildelingen af lærevagtighed i Johannes-tiden tager hensyn til hans brændpude. Derfor bruges han på fejrrøger til indlæringstiden (""koglæg""), mens han bruger til undervisning 1/16 = (160/24) Aff: Afstanden til brug: 2/16 = (160/3)1

Tildelingen af lærevagtighed på lørdag og søndag er i forhold til#### 4773598040054767735980400537427973604000000000004819100000020745427973604679044610924859390481996233110405203198847040083671906138490679570025566423405435690481084335840115761954940928440563320256773425157578106196194550972516416269299838245154910382014727754358123931979613438078434033515683623390041177197825099351016070548170274005115155089232604064557884532581500737690839263404154807767825501665491357234540612806278272158342841547697328810679802004406720544001116602103838455504892002270342502341603562027542561503327328378624015775631314948818890337340267916387310846181687035494422780705469357344799224034345262101101980058127735474710610010030665081116110671106896145540011353937133921386807989393489876383462174858978257894648446411362920394178826213775742868341091140376520476596948658437141518635313100732022144040033300112113122416031043293128891862350801754761079879690599513216154551126509933212935666615",<MagicMock name='mock.__sub__().__truediv__()' id='140032740130400'>,False
728,"Clara har 15 lyseblå trådruller, 45 mørkeblå trådruller, 40 lysegrønne trådruller og 50 mørkegrønne trådruller. Hvilken procentdel af hendes ruller er blå?","Først finder vi antallet af blå ruller: 15 ruller + 45 ruller = <<15+45=60>>60 ruller
Derefter finder vi det samlede antal ruller: 40 ruller + 50 ruller + 60 ruller = <<40+50+60=150>>150 ruller
Derefter dividerer vi antallet af blå ruller med det samlede antal ruller og multiplicerer med 100% for at udtrykke svaret i procent: 60 ruller / 150 ruller * 100% = 40%
#### 40"," Clara har 10 + 15 + 45 + 40 + 50 = >>10+60+45+40+40+50>>10 trådruller.
 Hans blå del er (-100)% = 5% -----------------------------------------------------------------------------------------------------------------------------------------------------------------------

util it is <- (=10 + 60 + 45)####
1001000010070001000027636407416010000000000025200001774476603400001000050000000600000001500000000000000400002600000021110000000400000000001100000000000101376100000000000000000000000000010000000000500000000100000000099999999999999999999990000000002000020040000148010100010112008000100010000002210347462444110030901800010679511230404011994041101100743230000378126804662270091740028124300398704333436039401923026604820333430735008347744320008774633127820000000000000000000401073713320000106719764000000000006000000070000004073990050040000135847441540020896577000000000000000000000000120000000013071000050000000533333334333419900000000000321663361134210000000000000000604410120266000000073337020000000000071132300831000000000006710111101270000000010303461741000000001835377338242109504000000050000000000000000000000003000000000000000000064140000000000733221130972211000700000000000000000121419713100000000000000000000000032110000000000000000360000000214333325215006000000000000005337000000636562293381280066500000000000000000000000003987081048100000473621037115148731000000004900158000120000000000000006658195532910000000000000000000000007468780010000085619013440000000000000000000000000000000000796002510000000000000000000350000000200000000000000041143000000000000005000000000000041176661771409381200000000000000000000000000457734420959615000100000000000000000014154805001404542700240000000001016570000000010005000000000000000001160579764210000000002000000731562606132244192500000000000000003008000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000003310010000000000000000000000000126380000000000010000000000000000000000150000000000000011220230223136111111111111111111111111",<MagicMock name='mock.__sub__().__truediv__()' id='140032739705392'>,False
304,"William arbejder en 10-timers vagt hver dag, fem dage om ugen. Han tjener 10 kr i timen og får en bonus på 300 kr hver uge, hvis virksomheden klarer sig godt. Hvor mange penge tjente William i april, hvis virksomheden klarede sig rigtig godt hele måneden?","På en dag tjener William 10 * 10 = <<10*10=100>>100 kr
Hvis han arbejder fem dage om ugen, er det samlede antal dage for hele måneden 5*4 = <<5*4=20>>20 dage.
Da han tjener 100 kr om dagen, er det samlede beløb for hele måneden 20 * 100 = <<20*100=2000>>2000 kr.
Han fik også en 300 * 4 = <<300*4=1200>>1200 kr bonus, fordi virksomheden klarede sig godt i alle ugerne i april.
Ved slutningen af april havde han tjent 2000 + 1200 = <<2000+1200=3200>>3200 kr.
#### 3200"," 1. Wagy wagt.
2. Wagy Shuttle-Time og Remaining Taxes.
3.  707/429/262 -2*Wagy.
4. WI 0.Wagy ''time on duty'' or 10/07/40/2-05 Shuttle (sum 0.0715 ? 2.0715).
5. Square root.
6. Wagy ? ?.
7. ( 707/429/262 - 307/100 ? 431 ? 271/262 - 761*8/2 ?8+2).
8. TAWI = TAWI SG - 10/07/40/2 - 05 Harvi.
He havde
#### 1000000100017100003137000007000000070000000700000070000000100000000002000000002000000010000004300700000007000000070000000700000007000000010000000002000000037000004030024396000200000003000000030000000300000003000000030000000300000300000300000300000000000003700000400000800100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500100919500110037000000000000003415192670080000000700000007000000070000000700000007000000070000000700000007000000070000000700000007000000070000000700000007000000070000000700000007000000070000000700000007000000070000000700000007000000070000000700000007000000070000000700000007000000070000000700000007000000070800270030013032000200000003",<MagicMock name='mock.__sub__().__truediv__()' id='140032740227408'>,False
434,Automaterne sælger chips for 40 øre og slikbarer for 75 øre. George brugte 5 kr og fik 3 poser chips og havde 1% af sine penge tilbage i byttepenge. Hvor mange slikbarer købte han?,"George fik 0,05 kr i byttepenge fordi 5*1/100 = <<5*1/100=0,05>>0,05
George brugte 4,95 kr fordi 5 - 0,05 = <<5-0,05=4,95>>4,95
George brugte 1,2 kr på chips fordi 3*0,4 = <<3*0,4=1,2>>1,2
George brugte 3,75 kr på slikbarer fordi 4,95 - 1,2 = <<4,95-1,2=3,75>>3,75
George købte 5 slikbarer fordi 3,75 / 0,75 = <<5=5>>5
#### 5"," 20kb@1pxPipeboard(n) = 40*5 0.5 Ohhci = 1Ok or 1 0.3 ba = 3 15ra 0.1 ra = 10 0.3 blk = 10 52b. = 220. 1 jepcode = 20 17bblay 0.5ga = 5 b = 5

Hjemmel:
*5 + b = gg( 5) + => boggga""""""
*1 ok = Np(kkg1) = 1 Okgk0()
*1 0.5 ga = `9====kb@1`_pg(p@17gbby)
*for many = varga(Chr::#### 055315182153555321331316752359863393159559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559863393159863637559",<MagicMock name='mock.__sub__().__truediv__()' id='140032739781584'>,False
