name,inputs,expected_output,output,task_duration,assertion_value,assertion_reason
2020_6-7-klasse/13.txt,"Når flagermusen Vlad forlader sin grotte, viser det digitale ur 20:20.
Når han vender tilbage og hænger med hovedet nedad, ser han igen 20:20 på uret.

Hvor lang tid var Vlad væk fra grotten?",5 timer og 42 minutter,"

Vlad kan se, om den er dødt eller ikke, og er ligeså god til at mærke, når hans mor er i panik.
Vlad kan se, om hans mor er i panik, og er liges",1.0,False,"The output provides unrelated information about Vlad's abilities, and does not answer the question about the duration Vlad was away."
2020_6-7-klasse/19.txt,"Ni mønter er sorte på den ene side og hvide på den anden.
Til at starte med ligger fire mønter med den sorte side opad.
I hver tur vendes tre mønter.

Hvor mange ture skal man mindst bruge, hvis alle mønterne skal have samme farve opad?",2,"
Måske kan du finde på flere farver?",1.0,False,The output does not provide the correct answer to the question regarding how many turns are needed to have all coins with the same color up.
2020_6-7-klasse/21.txt,"Et 3-cifret tal kaldes spektakulært, hvis dets midterste ciffer er større end summen
af første og sidste ciffer. Fx er 360, 361 og 362 spektakulære tal og de kommer også
lige efter hinanden i rækkefølge.

Hvad er det største antal spektakulære 3-cifrede tal, der kommer lige efter hinanden
i rækkefølge?",8," Vi har først og fremmest den samme udfordring som med at bestemme
hvor mange spektakulære 3-cifrede tal der kommer lige efter hinanden i rækkefølge, og
så skal vi finde ud",1.0,False,The output does not provide the correct answer to the question. It discusses the problem without providing the specific solution or expected output.
2020_6-7-klasse/22.txt,"Magnus skal spille 15 kampe i en skakturnering.
Undervejs i turneringen har han vundet halvdelen af de kampe, han allerede har spillet,
tabt en tredjedel og spillet to uafgjorte kampe.

Hvor mange kampe mangler Magnus at spille på dette tidspunkt?",3,"

* <strong>Svar:</strong>",1.0,False,the output is empty and does not provide any answer to the number of matches Magnus still needs to play
2020_6-7-klasse/23.txt,"Rakel bygger en pyramide af bolde. Det nederste lag består af 3×3 bolde.
Det midterste lag har 2 × 2 bolde, og det øverste lag 1 bold.
Hun sætter en klat lim alle steder, hvor to bolde rører hinanden.

Hvor mange klatter lim sætter hun?",36,"

Der er et bord med 12 bolde.
Det første lag af de 12 bolde består af 6×6 bolde.
Det anden lag er 3×3 bolde.
Det sidste lag er ",1.0,False,The output is incorrect and does not answer the question about the number of glue blobs used for the pyramid described in the input. It also gives an incorrect description of the pyramid layers.
2020_6-7-klasse/3.txt,"Et stort kvadrat er sat sammen af små sorte og hvide kvadrater.

|██|██|  |██|
|  |██|██|  |
|  |  |██|██|
|██|██|  |  |

Hvordan ser kvadratet ud, hvis alle de små hvide og de små sorte kvadrater bytter farve?","|  |  |██|  |
|██|  |  |██|
|██|██|  |  |
|  |  |██|██|"," Hvad betyder de grå eller gule kvadrater?

Hvor mange af kvadraterne ser man?

Forskellige farver af samme størrelse.

Hvad er de forskellige størrelser? Hvad betyder størrelsen? H",1.0,False,The output does not answer the question about how the large square would look if the colors of the small black and white squares were swapped.
2020_6-7-klasse/4.txt,"Kim har flere kæder af længde 5 og 7.
Ved at sætte kæderne sammen en efter en kan Kim lave kæder af flere forskellige længder.

Hvilken længde kan han IKKE lave?",13,"
<tex>$-6+3-2=9$</tex>
Det er kun muligt at lave kæder der er opadgående, derfor kan ikke han lave kæder der er nedadgående, da han jo er i",1.0,False,the output does not provide the correct lengths Kim can't make with chains of lengths 5 and 7.
2020_6-7-klasse/6.txt,"Maria har 10 ark papir.
Hun klipper nogle af arkene i 5 stykker. Dere
er har Maria 22 stykker papir i alt.

Hvor mange ark klippede hun i stykker?",3,"

Hvor mange stykker papir havde Maria i alt?

Her er du i stand til at sige om hvert enkelt tal er forkert eller ret.

7 + 7 =

6 - 5 =

8 - ",1.0,False,The provided output does not contain the correct answer to the question about how many sheets Maria cut. The expected output is a numerical answer or equation solving for how many she cut.
2020_6-7-klasse/7.txt,"På et bord ligger fire stabler bøger
med 1, 4, 6 og 9 bøger i hver.
Lea vil have lige mange bøger i hver stabel.

Hvor mange bøger skal hun mindst flytte?",5,"

Hvad skal hun gøre i hvert fald, hvis det går galt?
Når du er færdig vil du have svaret skrevet ned eller
tryk på ”Alt” (CTRL+ALT+DEL) for at",1.0,False,The output does not provide the correct answer to the question of how many books should be moved to balance the stacks.
2020_6-7-klasse/9.txt,"En elver og en trold mødes. Trolden lyver altid, og elveren taler altid sandt.

De siger begge samme sætning. Hvilken?","""Jeg siger altid sandheden""","

Mange mennesker har ikke kendskab til det samme. De spilder også deres tid med at forveksle andre sætninger med denne.

""Hvordan skrives det"" er i virkeligheden en betroldnings",1.0,False,The output does not provide the expected answer where both the elf and the troll say the same sentence.
