name,inputs,expected_output,output,task_duration,correct
1268,"Et stak er lavet af 7 hvide mursten, tre gange så mange lilla mursten og et ukendt antal orange mursten. Hvis der er 47 mursten i stakken i alt, hvor mange orange mursten er der så?","Der er 7*3=<<7*3=21>>21 lilla mursten i stakken.
Der er 47-7-21 = <<47-7-21=19>>19 orange mursten i stakken.
#### 19"," I alt er der 47 mursten. Der er 7+3=20 lilla mursten. Der er 7 orange mursten til summen. Der er to af hvert, målt ud, men der kan stå en lilla mursten med en orange, hvilket kan være nyttigt..
De sidste 20lilla mursten vil være brugt til en facade og en orange til en. Der er four planker, og så er#### 304845476674751431258336745187488130941896608542326254254303864521402342518776043676365544216252343880214055489630245414075634525263554218659588657342454214023548025426250304472341405037013523811842286532022960922448004752117305857396065234392254352534228876552895573130446404616674432309254152123645642503048572826656355440085428255756118855298669809337506043282265347230142817380214521368328290759",7.712403491022997,False
976,"Ole sælger kanelsnegle og æbletærte til en indsamlingskampagne. Om mandagen solgte han 22 kasser kanelsnegle og 11 færre kasser æbletærte end om tirsdagen. Om tirsdagen solgte han yderligere 13 kasser kanelsnegle end om mandagen og 17 kasser æbletærte. Hvis kanelsnegle koster 9 kr og æbletærter koster 28 kr, hvor meget tjente Ole på to dage?","Han solgte 22 + 13 = <<22+13=35>>35 kasser kanelsnegle om tirsdagen.
Det samlede antal kasser kanelsnegle, som Ole solgte, er 22 + 35 = <<22+35=57>>57.
Ole tjente 57*9 kr = <<57*9=513>>513 kr på at sælge kanelsnegle.
Han solgte 17 - 11 = <<17-11=6>>6 kasser æbletærte om mandagen.
Det samlede antal kasser æbletærte, som Ole solgte, er 17 + 6 = <<17+6=23>>23.
Han tjente 23*28 kr = <<23*28=644>>644 kr på at sælge æbletærte.
Så Ole tjente 513 kr + 644 kr = <<513+644=1157>>1157 kr på to dage.
#### 1157"," Kanelsnegle koster 22 - 2 = <<22-2=20>>20 kr, hvis der ikke er papir i pakken.
Æbletærte koster 28 + 7 = <<28+7=35>>35 kr, hvis der ikke er adskillige færre som gav penge af.
20 kr og 35 kr er et kombisalg.
Da de ikke har samme næste priser er der en fordampning.
Skal kanelsnegle sælges om mandagen####
7025932024220252528282029202421242820292823",0.9425553309265524,False
661,"Tobias går i butikken for at købe noget sukker. Det normale sukkermærke, han køber, koster 94 DKK per 500 kilogram. Han var nødt til at købe et dyrere mærke, der kostede 40% mere, da hans yndlingsmærke var udsolgt. Han beslutter sig for at købe en uges sukker og han bruger 653 kilogram sukker om dagen. Han besluttede sig også for at købe en bagel til 28 DKK. Hvor meget kostede det hele?","Sukkeret, han købte, var 94*0,4=<<94*0,4=37>>37 DKK dyrere per 500 kilogram, end hvad han normalt køber
Så det kostede 94+37=<<94+37=131>>131 DKK per 500 kilogram
Han bruger 653*7=<<653*7=4571>>4571 kilogram sukker om ugen
Så han betalte 131,6*7=<<131,6*7=921>>921 DKK for sukkeret
Det betyder, at hans samlede regning var 921+28=<<921+28=949>>949 DKK
#### 949"," 15% af 94 = <<15%=14>>14 * 653 = 944
40før 15 = <<40før 15=55>>55
28DKK / 55 = <<28DKK / 55=4>>4
Den totale pris blev 944 DKK + 40 + 4 = <<944+4+4=1,196>>1,196

Problem: Mens hun løbe rundt i byen, tænker Sarah, om hun skulle spørge en imigrant, om han kan anbefale et produkt, der fungerer uden ett####
100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",1.8851875300752,False
107,"Simon ser TV efter han er færdig med sine lektier. Mandag og tirsdag så han en 3-times episode af sit yndlingsshow. Onsdag så han nogle episoder af et 30-minutters show. Torsdag blev han tidligt færdig med lektierne og så en 3-times episode og et 60-minutters show. Fredag måtte han blive sent oppe, så han så to 1-timers episoder. Hvis han i alt så 14 timers TV, hvor mange 30-minutters episoder så han onsdag?","Lad E være antallet af episoder, han så onsdag.
Efter mandag havde han 14 - 3 = <<14-3=11>>11 timers TV tilbage.
Efter tirsdag havde han 11 - 3 = <<11-3=8>>8 timers TV tilbage.
Efter torsdag havde han 8 - 3 - 1 = 4 timers TV tilbage.
Efter fredag havde han 4 - 2 = 2 timers TV tilbage.
Hver 30-minutters episode er 0,5 time.
Således, E = 2/0,5 = 4 episoder.
#### 4"," Simon ser tv 14 timer (14 / 30*30 = <<14*30=420>>420
Torsdag var han tidligt færdig med 420-minutuhrs lektier.
På onsdag var han 420-minutuhrs, fordi onsdag fra to 30-minutters shows er 14 timers tv.
#### 420",0.30602261098101735,False
1021,"I en quiz med 100 spørgsmål er 5% af spørgsmålene fysik og resten er ligeligt fordelt som historie og kemi spørgsmål. Hvis Emma er sikker på at få 20% af de fysik spørgsmål rigtige og tre femtedele af de historie og kemi spørgsmål korrekt, hvor mange point er hun sikker på at få?","De historie og kemi spørgsmål udgør 100% - 5% = 95% af quizzen.
Der er 100 spørgsmål*5/100 = 5 fysik spørgsmål.
Der er i alt 100 spørgsmål*95/100 = 95 historie og kemi spørgsmål.
Hvis Emma er sikker på at få 20% af de fysik spørgsmål, betyder det, at hun er sikker på sine 5 spørgsmål*20/100 = 1 point.
Fra de historie og kemi spørgsmål er hun sikker på at få tre femtedele korrekt, så det er 95 spørgsmål*3/5=57 point.
Således er hun sikker på at få 1 point + 57 point = 58 point i hendes quiz.
#### 58"," Vælg et spørgsmål. Her er det fysik. Hvis der er 20% rigtige, får du: 20/64*100=<<20/64*100=12.5>>12.5
Navne: (fysik)-2,62.
Annonce: (fysik)-,inf.,37.
Færre kan du nemlig ikke få kørt som et plusnummer.
Opgave: Som et eksempel er det: 4561/64*20=<<4561/64*20=7.5>>7.5
Navne: (fysik)-,inf.,37.
An/An/####
1298689874000000000000000000000080050056850405685830568490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",2.848715096944943,False
145,Christian har 30 hektar bananplantage. Der er 70 bananer per hektar. Christian kan høste sine bananer hver 6 måned. Hvor mange bananer kan Christian høste inden for et år?,"Christian har 70*30= <<70*30=2100>>2100 bananer på sin plantage.
Christian kan høste sine bananer 12 / 6 = <<12/6=2>>2 gange om året
Derfor kan Christian høste 2100*2 = <<2100*2=4200>>4200 banan om året.
#### 4200"," 70/6 = <<70/6=11>>11 plantehøster per 6 måneder.
Derefter kan han høste sine bananer hvert 6. Mulpoint fra sammenlikningen.
#### 11",0.17436455003917217,False
365,"Der er 9 piger i haven. Hvis der er to gange så mange drenge i haven, hvor mange børn er der så i haven?","Der er 9 piger*2 drenge/piger = <<9*2=18>>18 drenge i haven.
I alt er der 9 piger + 18 drenge = <<9+18=27>>27 børn i haven
#### 27"," I haven er der 9 piger + 2 = 9 - 2 = <<9-2=7>>7 piger. Derimod er der 9 drenge + 3 = 9 + 3 = 12 drenge i haven
#### 17",0.19003315398003906,False
401,"En tømrer arbejder i 2 uger hver måned og i 4 dage hver uge. Hvis han får 145 kr hver dag, hvor meget tjener han, hvis han arbejder i et år?","Tømreren arbejder i 4 dage hver uge og arbejder i 2 uger hver måned, så han arbejder i 4 dage/uge * 2 uger/måned = <<4*2=8>>8 dage/måned
Hvis han tjener 145 kr hver dag, tjener han 145 kr/dag * 8 dage/måned = <<145*8=1160>>1160 kr/måned
Et år svarer til 12 måneder, så hvert år tjener han 1160 kr/måned * 12 måneder/år = <<1160*12=13.920>>13.920 kr
#### 13.920"," Tømrerens dagligtømmer er i antal dage == 145 kr.
Konverter dit antal dage fra uger til højre (sammen.)
####
1456475842480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014564758424800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014564758424800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",1.4765005940571427,False
1026,En dværg kan udvinde 5 kg malm om dagen med bare hænder. Han kan udvinde to gange så meget med en bronzehakke og 40% mere med en titaniumhakke end med en bronzehakke. Hvor mange kg malm kan 20 dværge med titaniumhakker udvinde på en måned med 30 dage?,"Først find ud af, hvor meget malm en dværg kan udvinde med en bronzehakke: 5 kg/dag*2=<<5*2=10>>10 kg/dag
Derefter gang det beløb med 140% for at finde ud af, hvor meget en dværg kan udvinde med en titaniumhakke: 10 kg/dag * 140% = <<10*140*.01=14>>14 kg/dag
Derefter gang det, en dværg kan udvinde på en dag med en titaniumhakke, med antallet af dværge: 14 kg/dag/dværg * 20 dværge = <<14*20=280>>280 kg/dag
Derefter gang det daglige beløb af malm med antallet af dage for at finde det samlede beløb udvundet på en måned: 280 kg/dag * 30 dage = <<280*30=8400>>8400 kg/dag
#### 8400"," 120*2 = <<120)*2=240>>240 kg
100*2 = <<100)*2=200>>200 kg
60*3 = <<60)*3=180>>180 kg
40*8 = <<40)*8=320>>320 kg
25*12 = <<25)*12=300>>300 kg
10*20 = <<10)*20=200>>200 kg
5*15 = <<5)*15=75>>75 kg
Den 20 kavaritestene vil udvinde 120 kg malm, dvs. 120*2 = <<120*2=240>>240 kg
Den 10 titaniumhakker vil####
1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000076500000000000000000000000000000000000000000000000000000000000000000000000000",2.0174890300258994,False
1023,"En onkel spiser 6 tacos om dagen, hans ægtefælle spiser 4 tacos om dagen og deres barnebarn spiser 5 tacos om dagen. Hvor mange tacos spiser denne familie på en uge?","Antallet af tacos, de spiser på en dag, er 6 + 4 + 5 = <<6+4+5=15>>15 tacos.
Antallet af tacos, de spiser på en uge, er 15 * 7 = <<15*7=105>>105 tacos.
#### 105"," Pornika spiser 6 tacos om dagen,Derefter er han og Boleene og deres børn hver 8 tacos om dagen.
Vores par bliver 26 tacos om dagen.
Vores par bliver 20 tacos om dagen.
Den største gruppe har 6 tacos om dagen.
#### 26",0.21766063396353275,False
