,model,gsm_var,language,accuracy
0,Llama-3.1-8B-Instruct,v1,Danish,0.268
1,Llama-3.1-8B-Instruct,v10,Danish,0.165
2,Llama-3.1-8B-Instruct,v11,Danish,0.165
3,Llama-3.1-8B-Instruct,v12,Danish,0.103
4,Llama-3.1-8B-Instruct,v13,Danish,0.124
5,Llama-3.1-8B-Instruct,v14,Danish,0.124
6,Llama-3.1-8B-Instruct,v15,Danish,0.144
7,Llama-3.1-8B-Instruct,v16,Danish,0.165
8,Llama-3.1-8B-Instruct,v17,Danish,0.124
9,Llama-3.1-8B-Instruct,v18,Danish,0.124
10,Llama-3.1-8B-Instruct,v19,Danish,0.041
11,Llama-3.1-8B-Instruct,v2,Danish,0.134
12,Llama-3.1-8B-Instruct,v20,Danish,0.237
13,Llama-3.1-8B-Instruct,v3,Danish,0.124
14,Llama-3.1-8B-Instruct,v4,Danish,0.072
15,Llama-3.1-8B-Instruct,v5,Danish,0.124
16,Llama-3.1-8B-Instruct,v6,Danish,0.196
17,Llama-3.1-8B-Instruct,v7,Danish,0.113
18,Llama-3.1-8B-Instruct,v8,Danish,0.155
19,Llama-3.1-8B-Instruct,v9,Danish,0.175
