name,inputs,expected_output,output,task_duration,correct
989,Emma kan skrælle 5 svampe i minuttet og sautere 20 svampe på 14 minutter. Hvor lang tid vil det tage hende at skrælle og sautere 100 svampe?,"Først find ud af, hvor lang tid det tager Emma at skrælle svampene: 100 svampe / 5 svampe/minut = <<100/5=20>>20 minutter
Derefter finder du ud af, hvor mange portioner svampe hun skal tilberede: 100 svampe / 20 svampe/portion = <<100/20=5>>5 portioner
Derefter ganger du antallet af portioner med tiden per portion for at finde den samlede tilberedningstid: 5 portioner * 14 minutter/portion = <<5*14=70>>70 minutter
Til sidst tilføjer du skrælletiden for at finde den samlede tid Emma bruger: 70 minutter + 20 minutter = <<70+20=90>>90 minutter
#### 90"," Emma kan skrælle 5 svampe/minut og sautere 20 svampe/minut. Hun kan skære 100 svampe/minut.
Tid = marioner/samtic * antal svampe = <<5*20*100>>5*20*100 = 5 * 20 * 100 = 10000 minuter.
100 SF/48 bure = 100/48 = 2.084
100 SF/54 bure = 100/54 = 1.852
Periordan for rengøring er 2.084 * 2 = 4.168 minut.#### 146818776043676061249286272348880216056089690745414075634825886557218659588657342484214488568025827290704472341305037013523811842286438062960927448004788617305857396065239792258357534848876552893673130446408676874432309776153123686642503748172826657355347085178255756118855298669869337566033988765347481742817380214571368328290759",8.262942789006047,False
1133,"Ida går 20 kilometer hver dag på hendes yndlingsvandrerute, som inkluderer 3 kilometer på stranden og 17 kilometer på fortovet. På fortovet går Ida fire gange så hurtigt som hun gør på stranden. Hvis 48 minutter af hendes gåtur tilbringes på stranden, hvor lang tid tager det hende at fuldføre hele 20-kilometer gåturen, i minutter?","På stranden går Ida med en hastighed på 3 kilometer per 48 minutter, eller 3/48 = 1/16 kilometer per minut. På fortovet går hun fire gange så hurtigt som når hun er på sandet, eller 4*1/16 = 1/4 kilometer per minut. For at gå 17 kilometer på fortovet, tager det hende 17/(1/4)=68 minutter. Så i alt tager det Ida 48+68=116 minutter at gå sin yndlingsrute. #### 116"," Ida går 20 kilometer hver dag.
Stranden er 3 kilometer. Det tager 20km / 3km = 6.67 minutter på stranden.
Fortevet er 17 kilometer. Det tager 17km / 17km = 1 minut på fortovet.
Første del af turen er 6.67 minutter.
Den anden del er 1 minuttet.
Den tredje del er 1 minut.
Det samlede tidsforbrug: 6.6#### 18002666666666666788888889999999999987089586362166666788888888888886564546454646464646464646465777777777777777776564546464646464646464646577777777777777765606060606060606060606060606067656454646464646464646464646464646775657777777777777656454646464646464646464646465777777777777776564546464646464646564546464646464646465777777665645464646464646464646464646464646464646464657",2.2405044470215216,False
432,"Prins William dræbte 200 orker med sit mægtige krigshammer, mens prins Erik, der brugte et hellebard, dræbte tre femtedele så mange orker som prins William. Ved hjælp af en træ hammer dræbte prins Asbjørn fem gange så mange orker som prins Erik. Men prins Mikkel, som havde glemt sit økse derhjemme, dræbte to tredjedele så mange orker som prins Asbjørn ved hjælp af en neglefil. Hvor mange orker har prins Mikkel dræbt?","Prins Erik dræbte tre femtedele så mange orker som prins William, altså 200*3/5=<<200*3/5=120>>120 orker.
Prins Asbjørn dræbte fem gange så mange orker som prins Erik, altså 5*120=<<5*120=600>>600 orker.
Prins Mikkel dræbte to tredjedele så mange orker som prins Asbjørn, altså 600*2/3=<<600*2/3=400>>400 orker.
#### 400","
Prins William dræbte 200 orker
Prins Erik dræbte 200 * 3 = 600 orker
Prins Asbjørn dræbte 600 * 3 = 1800 orker
Prins Mikkel dræbte 1800 * 2 = 3600 orker
Prin Hans har 1200 orker til rådighed, altså 3600 minutter.
Prin Mikkel dræbte 200 orker.
Svar: 300

#### 30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",1.4774264600127935,False
1264,"Ole laver popcorn som en snack. Når gryden med majskernerne bliver varm, begynder kernerne at poppe hurtigere. 40 popper i de første 18 sekunder af tilberedningen, derefter to gange det antal i de næste 18 sekunder. Kernerne øges til fire gange den oprindelige poppehastighed i de næste 18 sekunder, men i de sidste 18 sekunder aftager poppehastigheden til halvdelen af hastigheden af de tidligere 18 sekunder. Efter Ole har taget gryden af varmen, popper en fjerdedel af antallet af kerner, der poppede i de sidste 18 sekunder af tilberedningen på grund af den resterende varme. Hvor mange popcorn har Ole at spise?","I de anden 18 sekunder af tilberedningen popper 2*40=<<2*40=80>>80 kerner.
I de tredje 18 sekunder popper 4*40=<<4*40=160>>160 kerner.
I de sidste 18 sekunder popper 160/2=<<160/2=80>>80 kerner.
Efter tilberedningen får den resterende varme til at 80/4=<<80/4=20>>20 kerner popper.
Således har Ole 40 + 80 + 160 + 80 + 20 = <<40+80+160+80+20=380>>380 popcorn at spise.
#### 380"," Start med 40 popper i de første 18 sekunder. I de næste 18 sekunder er der 2*40=80 popper. I de næste 18 sekunder er der 4*80=320 popper. Efter 18 sekunder er der 320/2=160 popper. I de sidste 18 sekunder er der 4*160=640 popper. Efter at ole har taget gryden af varmen, er der 640/3=213.33 popper.
####
320640598978811161287213837781116128721287213485792588886245273130619564848484848484848484848484848484848484848484848484848484848487811161287213485792588886245273130619564848484848484848484848485792588886245273130619564848484848484848484848484848483684870689785865283211915008663298983886647584248369857925888862452731306195648484848484848484848484848484848484",2.407896102988161,False
269,En jonglør kan jonglere med 72 bolde. To tredjedele af boldene er tennisbolde og en fjerdedel af tennisboldene er rød. Hvor mange rød tennisbolde er der?,"Tennisbolde: 72*2/3=<<72*2/3=48>>48.
Rød tennisbolde: 48*1/4=<<48*1/4=12>>12 bolde
#### 12"," Der er 72 dekorerede bolde. 3/72 er tennisbolde, så 3/72 * 72 = <<3*72/72=3>>3 tennisbolde
Af disse 3 tennisbolde er 1/6 af rød, så 1/6 * 3 = <<1/6*3=1/18>>1/18 rød bolde
Der er 1/18 * 72 = <<1/18*72=4<<4 rød bolde
#### 4500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",1.474434330011718,False
858,En ny parasit inficerer seks personer. Hver dag inficerer hver inficeret person to andre. Hvor mange mennesker er inficerede efter tre dage?,"På den første dag inficerer de oprindelige seks personer to personer hver, så 6*2=<<6*2=12>>12 flere mennesker bliver inficeret.
Der er 6+12=<<6+12=18>>18 inficerede personer efter den første dag.
På den anden dag bliver 18*2=<<18*2=36>>36 flere mennesker inficeret.
Der er 18 + 36 = <<18+36=54>>54 inficerede personer efter den anden dag.
På den tredje dag bliver 54*2=108 flere mennesker inficeret. Derfor er der 54 + 108 = 162 inficerede personer efter tre dage.
#### 162","
* Dag 1: 6 inficerede personer * 2 inficerede personer/person = 12 inficerede
* Dag 2: 12 inficerede personer * 2 inficerede personer/person = 24 inficerede
* Dag 3: 24 inficerede personer * 2 inficerede personer/person = 48 inficerede
* Total inficerede efter tre dage: 12 + 24 + 48 = 84
#### 84000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",1.908467848901637,False
976,"Asbjørn sælger brownies og hindbærtærte til en indsamlingskampagne. Om lørdagen solgte han 21 kasser brownies og 5 færre kasser hindbærtærte end om søndagen. Om søndagen solgte han yderligere 13 kasser brownies end om lørdagen og 29 kasser hindbærtærte. Hvis brownies koster 9 kr og hindbærtærter koster 25 kr, hvor meget tjente Asbjørn på to dage?","Han solgte 21 + 13 = <<21+13=34>>34 kasser brownies om søndagen.
Det samlede antal kasser brownies, som Asbjørn solgte, er 21 + 34 = <<21+34=55>>55.
Asbjørn tjente 55*9 kr = <<55*9=495>>495 kr på at sælge brownies.
Han solgte 29 - 5 = <<29-5=24>>24 kasser hindbærtærte om lørdagen.
Det samlede antal kasser hindbærtærte, som Asbjørn solgte, er 29 + 24 = <<29+24=53>>53.
Han tjente 53*25 kr = <<53*25=1325>>1325 kr på at sælge hindbærtærte.
Så Asbjørn tjente 495 kr + 1325 kr = <<495+1325=1820>>1820 kr på to dage.
#### 1820","
*   Lørdag: 21 kasser brownies * 9 kr/kasse = 189 kr
*   Søndag: 13 kasser brownies * 25 kr/kasse = 325 kr
*   Samlet indkomst lørdag og søndag: 189 kr + 325 kr = 514 kr
*   Et af dage: 514 kr
#### 51454045404540454045404545405445445454545454545454545554545555555555555555555554454545454545454545454545455555545555545555545555455555555454555555555555555545555555555555555555555555545555545555555555555555455555555555555555555455555514555564555564555555645555645555645555655556555455555555655555555455555555565555555564553555555555555555455555555556555556555565556555565556555565556555556555565555",1.4841466129291803,False
1277,"Der er i øjeblikket 26 år mellem Ingrid og Christian. Hvis Ingrid, der er yngre end Christian, er 74 år gammel, hvad er gennemsnittet af deres alder?","Hvis Ingrid er 74 år gammel, er Christian 74+26 = <<74+26=100>>100 år.
Summen af deres alder er 100+74 = <<100+74=174>>174 år
Gennemsnitsalderen for de to er 174/2 = <<174/2=87>>87 år
#### 87"," Den totale alder er 26 år + 74 år = 100 år. Gennemsnittet af deres alder er 100 / 2 = 50 år.
#### 50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",1.479843023000285,False
1207,"Ole fangede 5 pigvar i torsdag, den første pigvar han fangede vejer 55 kilogram, den anden pigvar han fangede vejer 53 kilogram og den sidste pigvar han fangede vejer 25 kilogram. Hvis et kilogram pigvar koster 0,5 kroner, hvor meget vil han tjene efter at have solgt alle pigvarene til markedet?","Ole vil tjene 55*0,5 kroner = <<55*0,5=27,5>>27,5 kroner fra den første pigvar.
Han vil tjene 53*0,5 kroner = <<53*0,5=26,5>>26,5 kroner for den anden pigvar.
Og han vil tjene 25*0,5 kroner = <<25*0,5=12,5>>12,5 kroner fra den tredje tun.
Derfor, den totale mængde han vil tjene for alle pigvarene er 27,5 kroner + 26,5 kroner + 37,5 kroner = <<27,5+26,5+37,5=91>>91 kroner.
#### 91"," Han fangede 5 pigvar med vægten 55 kg, 53 kg og 25 kg. Det betalte 0,5 kroner per kilogram. Så den første pigvar 55 kg koster 55 * 0,5 = 27,5 kroner. Den anden pigvar 53 kg koster 53 * 0,5 = 26,5 kroner. Den sidste pigvar 25 kg koster 25 * 0,5 = 12,5 kroner. Det samlede beløb er 27,5+26,5+12,5 = 66####
13525555555555555555555555555555555555555555555555555555555555555555555555555555555555555666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666",3.1704561799997464,False
232,"Kasper tog til deres baghaven for at plukke nogle hindbær og fandt tre fjerdedele så mange larver som hvepse i haven. Hvis der var 56 hvepse, beregn det samlede antal mariehøns i haven.","Hvis der var 56 hvepse, er det samlede antal larver i haven 3/4*56 hvepse = 42 larver
Det samlede antal larver i haven er 42 larver + 56 hvepse = <<42+56=98>>98 mariehøns
#### 98","
1. Antal larver Kasper fandt: 3/4 * 56 larver = 42 larver
2. Antal mariehøns: 42 larver * 10 mariehøns/larve = 420 mariehøns
#### 420562677478670362267417724658156004202866778777718182750854520116587741150731160774551978915751036906797601976175456468740047904790447637073548609090829352763799601282543710565545599778863429777242090028275368923047569244898442466520747250065322527413794542140574869950560345207423138748557717615033012305157048449251871646730076943544364920848415686177768127195905451774202144719611079627069743792396908287095490834027983459977317085",1.4792820680886507,False
