name,inputs,expected_output,output,task_duration,correct
684,"Jakob og Jens har 30 minutter til at gå til skolen sammen. Det tager dem 6 minutter at komme til hjørnet, hvor biblioteket er. Det tager dem yderligere 13 minutter at komme til brandstationen. Hvor meget tid har de tilbage til at nå skolen uden at komme for sent?","Jakob og Jens ankommer til biblioteket med 30 - 6 = <<30-6=24>>24 minutter tilbage til at nå brandstationen.
Derefter ankommer de til brandstationen og har 24 - 13 = <<24-13=11>>11 minutter tilbage til at nå til skolen uden at komme for sent.
#### 11"," Skolen er 250 meter fra biblioteket.
Det tager Jakob 13*1=13 minutter at gå til biblioteket.
Det tager Jens 13*4=51 minutter at gå til biblioteket.
Der kan derfor Jakob komme til skolen forbi biblioteket på 51 - 13 = 38 minutter. Jens kan komme til skolen forbi biblioteket på 41 - 38 = 3 minutter.
#### 38",<MagicMock name='mock.__sub__().__truediv__()' id='139793079236416'>,False
432,"Prins Theodor dræbte 100 drager med sit mægtige sværd, mens prins Arthur, der brugte et spyd, dræbte tre fjerdedele så mange drager som prins Theodor. Ved hjælp af en rusten jernøkse dræbte prins Wilhelm to gange så mange drager som prins Arthur. Men prins Stefan, som havde glemt sit sværd derhjemme, dræbte en femtedel så mange drager som prins Wilhelm ved hjælp af en neglefil. Hvor mange drager har prins Stefan dræbt?","Prins Arthur dræbte tre fjerdedele så mange drager som prins Theodor, altså 100*3/4=<<100*3/4=75>>75 drager.
Prins Wilhelm dræbte to gange så mange drager som prins Arthur, altså 2*75=<<2*75=150>>150 drager.
Prins Stefan dræbte en femtedel så mange drager som prins Wilhelm, altså 150*1/5=<<150*1/5=30>>30 drager.
#### 30"," Lad T være antallets drager i jernøksets slag.
Lad K være antallet af drager i sværdet.
Efter at have dræbt prins Theodor, han dræbte to drager med det ene sværd, har prins Arthur dræbt otte drager med det spyd. Så dræbte prins Wilhelm otte drager med et sværd, to prins Bernhard dræbte todrager med#### 40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",<MagicMock name='mock.__sub__().__truediv__()' id='139793055950096'>,False
1305,"Slot-familien har travlt med at lave småkager. Indtil videre har de lavet 7995 småkager. De har 2595 citron småkager, 3075 havregryn småkager og nogle chokolade småkager. Hvor mange chokolade småkager har de lavet?","Det samlede antal citron og havregryn småkager er 2595 + 3075 = <<2595+3075=5670>>5670.
Derfor har de lavet 7995 - 5670 = <<7995-5670=2325>>2325 chokolade småkager.
#### 2325"," Lad T stå for antallet af chokolade småkager, mens kan være antallet af citron/havregryn småkager.
Med reference til ovenstående problem har Slot-familien lavet 7995/2595 = 2156 citron/havregryn småkager.
Lad n være antallet af citron/havregryn småkager, og T være antallet af chokolade småkager.
Næ#### 799521562595307556564256063625952935625606362156075256063635606365625951324315606259531757555555555555555555555555555555555735657356255555555606363560636473560636256063635627555555555555555555555555555555555555555555555555555555555606625606626457356066256063662555555555555555555555555602592560662662560632560636165606361625606361560662625606656625606366562562656066256063666265606651665606651625",<MagicMock name='mock.__sub__().__truediv__()' id='139801734510928'>,False
39,"Dorte kan løbe fire gange hurtigere end hun kan gå, men hun kan springe med en hastighed der er halvdelen af den hastighed, hun kan løbe. Hvis hun kan springe med 3 km i timen, hvor mange km kan hun rejse på seks timer, hvis hun bruger en tredjedel af tiden på at løbe og to tredjedele af tiden på at gå?","Hvis Dorte kan springe med halvdelen af hastigheden hun kan løbe, så kan hun løbe med 3*2=<<3*2=6>>6 km i timen.
Og da hun kan løbe med en hastighed, der er fire gange hurtigere end hun kan gå, betyder det, at hun kan gå med 6/4=1,5 km i timen.
Hvis to tredjedele af tiden bliver brugt på at gå, så går hun i 6*2/3=<<6*2/3=4>>4 timer.
Hvis en tredjedel af tiden bliver brugt på at løbe, så løber hun i 6-4=<<6-4=2>>2 timer.
Således løber hun i 2 timer med 6 km i timen, eller 2*6=<<2*6=12>>12 km.
Hun går i 4 timer med 1,5 km i timen, eller 4*1,5=<<4*1,5=6>>6 km.
Således rejser hun i alt 12+6=<<12+6=18>>18 km.
#### 18"," Dorte kan springe lime med en hastighed X km/h. dit løbehastighed med en tredjedel er 4 km/h. Hvis Dorte springer i timen, kan hun lade sin linnehastighed være X km i timen.
Hvor mange timer kan det tage Dorte at lade springhastigheden være 3 km/t.
Efter at have løbet 5 miles, hopper hun 2 miles i #### 212960000368499010210111010113050000003684990102101110101130500000128830000021295990642116665460000036849901021011101000006421166654600003703800003734321221166654600003456116665460003456116665460000039518127000395181270000395181270000039518127000003951812700003951812700000395181270000395181270000395181270000395181270000055518127000046665460003734321221146113611361136113611361136113611361136113611",<MagicMock name='mock.__sub__().__truediv__()' id='139793055951728'>,False
1141,"Hvis Kasper spiser 3 æg om dagen i 30 dage og derefter øger det til 5 æg om dagen i 30 dage, hvor mange dusin æg vil Kasper have brug for i 60 dage?","Han starter med at spise 3 æg om dagen i 30 dage, hvilket i alt er 3*30 = <<3*30=90>>90 æg
Derefter øger han det til 5 æg om dagen i 30 dage, hvilket i alt er 5*30 = <<5*30=150>>150 æg
I alt vil han spise 90+150 = <<90+150=240>>240 æg
Der er 12 æg i 1 dusin og han vil spise 240 æg, hvilket er 240/12 = 20 dusin æg
#### 20"," Læg det enkeltstregede til at svare til T.

Number of eggs = T
60 = 3 x T
T = 60 x 3 = 180
#### 180",<MagicMock name='mock.__sub__().__truediv__()' id='139801734055984'>,False
1239,"En pedel skal gøre rent på en skole med 80 klasselokaler. De har 5 dage til at få det gjort. Det tager dem 15 minutter per klasselokale. Hvis de arbejder 8 timer om dagen, hvor stor en procentdel af deres dag, i gennemsnit, går til at rengøre klasselokaler?","De skal gøre rent 16 klasselokaler om dagen, fordi 80/5 = <<80/5=16>>16
De bruger 240 minutter på at gøre rent om dagen, fordi 16*15 = <<16*15=240>>240
De bruger 4 timer om dagen, fordi 240 / 60 = <<240/60=4>>4
De bruger 1/2 af deres dag på at rengøre klasselokaler, fordi 4 / 8 = <<4/8=0,5>>0,5
De bruger 50% af deres dag på at rengøre klasselokaler, fordi 0,5*100 = <<0,5*100=50>>50
#### 50"," Annemblaget skal arbejde 8 timer i gennemsnit + 5 dage + 15 min. i gennemsnit = 8+5+5=18 timer i gennemsnit.
Derfor kan du sige, at antagelsen for at rengøre 1 klasselokale hver dag taler i sig selv.
Annemblaget arbejder imellem 15 min + 18/15=8 min + 8 = 24 timer i gennemsnit.
De kan rense én klas####
24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",<MagicMock name='mock.__sub__().__truediv__()' id='139792993685376'>,False
1088,"Der er 6 lektioner om dagen for en normal elev, men Johannes skal tage 2 ekstra timer. Hver time varer 40 minutter. Han går til undervisning 5 dage om ugen. Han bruger derefter 1/16 af sine ugentlige minutter hver på lørdag og søndag som ekstra læringstid. Hvor mange timer om ugen bruger han på at lære?","Han tager 6+2=<<6+2=8>>8 timer om dagen
Det betyder, at han bruger 40*8=<<40*8=320>>320 minutter per dag i klassen
Så han bruger 320*5=<<320*5=1600>>1600 minutter om ugen
Det betyder, at han bruger 1600*1/16=<<1600*1/16=100>>100 minutter hver på lørdag og søndag.
Så han bruger 1600+100+100=<<1600+100+100=1800>>1800 minutter om ugen
Så han bruger 1800/60=<<1800/60=30>>30 timer om ugen
#### 30"," Hoveddelen af hverdagen består af 40 minutter, men 3 timers undervisning tilsvarende 72 minutter om ugen og 5 timer ugentligt er der derimod 120 minutter hver. Jo mere der læres, jo mere skal der også bruges, deraf dualismen.
inddelt op i 120 min = 2x120 min = 480 min Timetræning i ugen = 480*4=184####
4800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",<MagicMock name='mock.__sub__().__truediv__()' id='139801734829776'>,False
728,"Clara har 15 lyseblå trådruller, 45 mørkeblå trådruller, 40 lysegrønne trådruller og 50 mørkegrønne trådruller. Hvilken procentdel af hendes ruller er blå?","Først finder vi antallet af blå ruller: 15 ruller + 45 ruller = <<15+45=60>>60 ruller
Derefter finder vi det samlede antal ruller: 40 ruller + 50 ruller + 60 ruller = <<40+50+60=150>>150 ruller
Derefter dividerer vi antallet af blå ruller med det samlede antal ruller og multiplicerer med 100% for at udtrykke svaret i procent: 60 ruller / 150 ruller * 100% = 40%
#### 40"," 50% af rullerne er blå.
Længdeforskellen svarer til 50% * 40 %.
Herfra får man 3 redundante trådruller * 20%, hvilket svarer til 10 procenttråder.
Resultatet er 50 % * 40% * 10%.
#### 50",<MagicMock name='mock.__sub__().__truediv__()' id='139796439150384'>,False
304,"William arbejder en 10-timers vagt hver dag, fem dage om ugen. Han tjener 10 kr i timen og får en bonus på 300 kr hver uge, hvis virksomheden klarer sig godt. Hvor mange penge tjente William i april, hvis virksomheden klarede sig rigtig godt hele måneden?","På en dag tjener William 10 * 10 = <<10*10=100>>100 kr
Hvis han arbejder fem dage om ugen, er det samlede antal dage for hele måneden 5*4 = <<5*4=20>>20 dage.
Da han tjener 100 kr om dagen, er det samlede beløb for hele måneden 20 * 100 = <<20*100=2000>>2000 kr.
Han fik også en 300 * 4 = <<300*4=1200>>1200 kr bonus, fordi virksomheden klarede sig godt i alle ugerne i april.
Ved slutningen af april havde han tjent 2000 + 1200 = <<2000+1200=3200>>3200 kr.
#### 3200"," For at William tjente den samlede 10-timers vagn, kender vi følgende:
Per i timen = 10 kr
Garanti-bonussen = 300 kr
Royallevnen = 10 kr
hvis virksomheden klarer sig godt = rigtig godt
Så vil per i timen til William være:
Per i timen – Bonus=
Per i timen – Garanti-bonussen = Garanti-bonus – (Bonus-1#### 2002020025125190001085000000080400000000009170000000000000804000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019600000000000000000000000000000000000000",<MagicMock name='mock.__sub__().__truediv__()' id='139801734742768'>,False
434,Automaterne sælger chips for 40 øre og slikbarer for 75 øre. George brugte 5 kr og fik 3 poser chips og havde 1% af sine penge tilbage i byttepenge. Hvor mange slikbarer købte han?,"George fik 0,05 kr i byttepenge fordi 5*1/100 = <<5*1/100=0,05>>0,05
George brugte 4,95 kr fordi 5 - 0,05 = <<5-0,05=4,95>>4,95
George brugte 1,2 kr på chips fordi 3*0,4 = <<3*0,4=1,2>>1,2
George brugte 3,75 kr på slikbarer fordi 4,95 - 1,2 = <<4,95-1,2=3,75>>3,75
George købte 5 slikbarer fordi 3,75 / 0,75 = <<5=5>>5
#### 5"," Global: 5 => 5+ 2 = 7= X
X går ind og fjerner 2% af sine pengene.
Så x/100 = (5+ 2)/100 = 5 => Grøn enkelte.

X bruger:
* 75 => 75/100 = 5 => 5 x

Grønt enkeltobjekt:
X køber fire slikbarer, hvilket svarer til 2/100 x x x = 0.2 => 0.2
Problem: Hvor mange cloner kan et aktiv tilhøre?

Solution: Stel####
1010101110111111111101010110111011350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101101110111011111111101010110111011101111111110101011011101110111011111111101010110111011101110111111111010101101110111011101110111111111010",<MagicMock name='mock.__sub__().__truediv__()' id='139793055949376'>,False
