name,inputs,expected_output,output,task_duration,correct
684,"Jakob og Jens har 30 minutter til at gå til skolen sammen. Det tager dem 6 minutter at komme til hjørnet, hvor biblioteket er. Det tager dem yderligere 13 minutter at komme til brandstationen. Hvor meget tid har de tilbage til at nå skolen uden at komme for sent?","Jakob og Jens ankommer til biblioteket med 30 - 6 = <<30-6=24>>24 minutter tilbage til at nå brandstationen.
Derefter ankommer de til brandstationen og har 24 - 13 = <<24-13=11>>11 minutter tilbage til at nå til skolen uden at komme for sent.
#### 11"," Tid benyttet til at komme dertil brandstationen = 13 + 6 = 19 minutter
Tid tilbage til skolen = 30 - 19 = 11 minutter
#### 11",3.362141948004137,True
432,"Prins Theodor dræbte 100 drager med sit mægtige sværd, mens prins Arthur, der brugte et spyd, dræbte tre fjerdedele så mange drager som prins Theodor. Ved hjælp af en rusten jernøkse dræbte prins Wilhelm to gange så mange drager som prins Arthur. Men prins Stefan, som havde glemt sit sværd derhjemme, dræbte en femtedel så mange drager som prins Wilhelm ved hjælp af en neglefil. Hvor mange drager har prins Stefan dræbt?","Prins Arthur dræbte tre fjerdedele så mange drager som prins Theodor, altså 100*3/4=<<100*3/4=75>>75 drager.
Prins Wilhelm dræbte to gange så mange drager som prins Arthur, altså 2*75=<<2*75=150>>150 drager.
Prins Stefan dræbte en femtedel så mange drager som prins Wilhelm, altså 150*1/5=<<150*1/5=30>>30 drager.
#### 30"," Det kan tolkes, at prins Theodor dræbte 100 drager. Eftersom prins Arthur dræbte tre fjerdedele så mange drager som prins Theodor, dræbte han 100 * 3/4 drager, eller 75 drager. Eftersom prins Wilhelm dræbte to gange så mange drager som prins Arthur, dræbte han 75 * 2 = 150 drager. Og prins Stefan, ####
1748",3.4306632700026967,False
1305,"Slot-familien har travlt med at lave småkager. Indtil videre har de lavet 7995 småkager. De har 2595 citron småkager, 3075 havregryn småkager og nogle chokolade småkager. Hvor mange chokolade småkager har de lavet?","Det samlede antal citron og havregryn småkager er 2595 + 3075 = <<2595+3075=5670>>5670.
Derfor har de lavet 7995 - 5670 = <<7995-5670=2325>>2325 chokolade småkager.
#### 2325"," Hvis citron var C, havre var H, og chokolade var Ch, skal du finde chokolade.
7995=l+ h+c7995=2595+3075+c7995=5660+c7995=5660+c=7995-5660=<<7995-5660=2335>>2335

I brøkform, er 30% 30/100 = 30/100 = 30/(2×50) = 3/(2×5) = (3/5)×(1/2) =3/5×1/2 = <<3/5/2=3/10=0.3>>0.3
Indie har allerede brugt 2160 kr.####
40000000",4.9975066619954305,False
39,"Dorte kan løbe fire gange hurtigere end hun kan gå, men hun kan springe med en hastighed der er halvdelen af den hastighed, hun kan løbe. Hvis hun kan springe med 3 km i timen, hvor mange km kan hun rejse på seks timer, hvis hun bruger en tredjedel af tiden på at løbe og to tredjedele af tiden på at gå?","Hvis Dorte kan springe med halvdelen af hastigheden hun kan løbe, så kan hun løbe med 3*2=<<3*2=6>>6 km i timen.
Og da hun kan løbe med en hastighed, der er fire gange hurtigere end hun kan gå, betyder det, at hun kan gå med 6/4=1,5 km i timen.
Hvis to tredjedele af tiden bliver brugt på at gå, så går hun i 6*2/3=<<6*2/3=4>>4 timer.
Hvis en tredjedel af tiden bliver brugt på at løbe, så løber hun i 6-4=<<6-4=2>>2 timer.
Således løber hun i 2 timer med 6 km i timen, eller 2*6=<<2*6=12>>12 km.
Hun går i 4 timer med 1,5 km i timen, eller 4*1,5=<<4*1,5=6>>6 km.
Således rejser hun i alt 12+6=<<12+6=18>>18 km.
#### 18"," Hvis Dorte kan springe 3 km i timen, kan hun løbe 3 * 2 = 6 km i timen og gå 6/4=3/2=1,5 km i timen.
For anden tredjedel af tiden (hver time tilsvarende 20 minutter), passer Dorte løbe. I dette tidsrum rejser hun 1,5 * 6=9 km.
For første tredjedel af tiden (hver time tilsvarende 40 minutter), hvis
#### 20",3.8021421049925266,False
1141,"Hvis Kasper spiser 3 æg om dagen i 30 dage og derefter øger det til 5 æg om dagen i 30 dage, hvor mange dusin æg vil Kasper have brug for i 60 dage?","Han starter med at spise 3 æg om dagen i 30 dage, hvilket i alt er 3*30 = <<3*30=90>>90 æg
Derefter øger han det til 5 æg om dagen i 30 dage, hvilket i alt er 5*30 = <<5*30=150>>150 æg
I alt vil han spise 90+150 = <<90+150=240>>240 æg
Der er 12 æg i 1 dusin og han vil spise 240 æg, hvilket er 240/12 = 20 dusin æg
#### 20"," 3 æg * 30 dage * 1/12 eller 5 æg * 30 dage * 1/12 = 7;5 dusin æg.
#### 7",1.289302093005972,False
1239,"En pedel skal gøre rent på en skole med 80 klasselokaler. De har 5 dage til at få det gjort. Det tager dem 15 minutter per klasselokale. Hvis de arbejder 8 timer om dagen, hvor stor en procentdel af deres dag, i gennemsnit, går til at rengøre klasselokaler?","De skal gøre rent 16 klasselokaler om dagen, fordi 80/5 = <<80/5=16>>16
De bruger 240 minutter på at gøre rent om dagen, fordi 16*15 = <<16*15=240>>240
De bruger 4 timer om dagen, fordi 240 / 60 = <<240/60=4>>4
De bruger 1/2 af deres dag på at rengøre klasselokaler, fordi 4 / 8 = <<4/8=0,5>>0,5
De bruger 50% af deres dag på at rengøre klasselokaler, fordi 0,5*100 = <<0,5*100=50>>50
#### 50"," Antallet af timer, det tager en arbejder 8 timer at udføre arbejdet, er følgende:
Â 8*(1+5)= 48 timer.
Total rengøringstid er 80 klasselokaler * 15 minutter(i / klasselokale)= 1.200 minutter
1.200 minutter / 48 timer=15*(1+5)=60 minutter per timer.
60 minutter / 60 minutter i en time=1 rengøringstø####
1000",3.60267977201147,False
1088,"Der er 6 lektioner om dagen for en normal elev, men Johannes skal tage 2 ekstra timer. Hver time varer 40 minutter. Han går til undervisning 5 dage om ugen. Han bruger derefter 1/16 af sine ugentlige minutter hver på lørdag og søndag som ekstra læringstid. Hvor mange timer om ugen bruger han på at lære?","Han tager 6+2=<<6+2=8>>8 timer om dagen
Det betyder, at han bruger 40*8=<<40*8=320>>320 minutter per dag i klassen
Så han bruger 320*5=<<320*5=1600>>1600 minutter om ugen
Det betyder, at han bruger 1600*1/16=<<1600*1/16=100>>100 minutter hver på lørdag og søndag.
Så han bruger 1600+100+100=<<1600+100+100=1800>>1800 minutter om ugen
Så han bruger 1800/60=<<1800/60=30>>30 timer om ugen
#### 30"," Normalt bruger Johannes 6 timer
+ 2 ekstra timer, så det giver Johannes 8 timer for at studere hver dag.
Der er 5 dage om ugen, så der er 40 minutter = 40/60 time = 2/3 time i 1 time.
Så i hver uge har Johannes lært:
40 minutter × 8 timer × 5 dage
= (40 / 60 timer) × 8 timer × 5 dage
= 2/3 time × 8#### 5",3.6431161270011216,False
728,"Clara har 15 lyseblå trådruller, 45 mørkeblå trådruller, 40 lysegrønne trådruller og 50 mørkegrønne trådruller. Hvilken procentdel af hendes ruller er blå?","Først finder vi antallet af blå ruller: 15 ruller + 45 ruller = <<15+45=60>>60 ruller
Derefter finder vi det samlede antal ruller: 40 ruller + 50 ruller + 60 ruller = <<40+50+60=150>>150 ruller
Derefter dividerer vi antallet af blå ruller med det samlede antal ruller og multiplicerer med 100% for at udtrykke svaret i procent: 60 ruller / 150 ruller * 100% = 40%
#### 40"," Der er i alt 15 + 45 + 40 + 50 = 150 trådruller i alt.
Der er 15 + 45 = 60 blå trådruller i alt.
Således,  60 / 150 * 100 %= 40% er blå.
#### 40",2.135964831992169,True
304,"William arbejder en 10-timers vagt hver dag, fem dage om ugen. Han tjener 10 kr i timen og får en bonus på 300 kr hver uge, hvis virksomheden klarer sig godt. Hvor mange penge tjente William i april, hvis virksomheden klarede sig rigtig godt hele måneden?","På en dag tjener William 10 * 10 = <<10*10=100>>100 kr
Hvis han arbejder fem dage om ugen, er det samlede antal dage for hele måneden 5*4 = <<5*4=20>>20 dage.
Da han tjener 100 kr om dagen, er det samlede beløb for hele måneden 20 * 100 = <<20*100=2000>>2000 kr.
Han fik også en 300 * 4 = <<300*4=1200>>1200 kr bonus, fordi virksomheden klarede sig godt i alle ugerne i april.
Ved slutningen af april havde han tjent 2000 + 1200 = <<2000+1200=3200>>3200 kr.
#### 3200"," Sommerperiode sidder op, og produktiviteten er lavere end sædvanligt. Williams virksomhed klarer sig ikke så godt som tidligere. William kan ikke længere forlade sig på sin ugentlige bonus på 300 kr. En måned har 4-5 uger; i april var der 4 uger. Det betyder at der var 20 dage og at William har bræ#### 14",2.980829011008609,False
434,Automaterne sælger chips for 40 øre og slikbarer for 75 øre. George brugte 5 kr og fik 3 poser chips og havde 1% af sine penge tilbage i byttepenge. Hvor mange slikbarer købte han?,"George fik 0,05 kr i byttepenge fordi 5*1/100 = <<5*1/100=0,05>>0,05
George brugte 4,95 kr fordi 5 - 0,05 = <<5-0,05=4,95>>4,95
George brugte 1,2 kr på chips fordi 3*0,4 = <<3*0,4=1,2>>1,2
George brugte 3,75 kr på slikbarer fordi 4,95 - 1,2 = <<4,95-1,2=3,75>>3,75
George købte 5 slikbarer fordi 3,75 / 0,75 = <<5=5>>5
#### 5"," $50-3*40-0.01*50=10$
automaten gav ham 0.01*50 ~ Rx.5 kroner tilbage
så han brugte 50-0.01*50 = 49.5 kroner
49.5-(3*40)=9.5
4 slikbarer til0.75 Rkroner hver og 40 øre chips = 9.5 Rkroner
#### 4",3.0091149100044277,False
