,model,gsm_var,language,accuracy
0,gemma-3-1b-pt,v1,English,0.0
1,gemma-3-1b-pt,v10,English,0.0
2,gemma-3-1b-pt,v11,English,0.0
3,gemma-3-1b-pt,v12,English,0.0
4,gemma-3-1b-pt,v13,English,0.0
5,gemma-3-1b-pt,v14,English,0.021
6,gemma-3-1b-pt,v15,English,0.0
7,gemma-3-1b-pt,v16,English,0.0
8,gemma-3-1b-pt,v17,English,0.0
9,gemma-3-1b-pt,v18,English,0.01
10,gemma-3-1b-pt,v19,English,0.031
11,gemma-3-1b-pt,v2,English,0.0
12,gemma-3-1b-pt,v20,English,0.0
13,gemma-3-1b-pt,v3,English,0.0
14,gemma-3-1b-pt,v4,English,0.0
15,gemma-3-1b-pt,v5,English,0.0
16,gemma-3-1b-pt,v6,English,0.0
17,gemma-3-1b-pt,v7,English,0.01
18,gemma-3-1b-pt,v8,English,0.0
19,gemma-3-1b-pt,v9,English,0.0
